source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00067,JUBILEE ACADEMIES,BEXAR,4,2019-07-01T00:00:00.000,3856,8399.04,2.1781742738589216,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00067,JUBILEE ACADEMIES,BEXAR,4,2019-08-01T00:00:00.000,231,493.62,2.136883116883117,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00072,"RIVERWALK EDUCATION FOUNDATION, INC.",BEXAR,4,2019-06-01T00:00:00.000,300,1017.0,3.39,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00075,"RIVERWALK EDUCATION FOUNDATION, INC.",BEXAR,4,2019-06-01T00:00:00.000,1648,3611.43,2.191401699029126,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00079,HARLANDALE ISD,BEXAR,4,2019-06-01T00:00:00.000,17400,49662.25,2.8541522988505745,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00079,HARLANDALE ISD,BEXAR,4,2019-07-01T00:00:00.000,10765,31243.8,2.9023502090106827,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00080,EDGEWOOD ISD-SAN ANTONIO,BEXAR,4,2019-05-01T00:00:00.000,1336,3742.79,2.801489520958084,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00080,EDGEWOOD ISD-SAN ANTONIO,BEXAR,4,2019-06-01T00:00:00.000,20016,56747.74,2.835118904876099,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00080,EDGEWOOD ISD-SAN ANTONIO,BEXAR,4,2019-07-01T00:00:00.000,5270,14483.64,2.7483187855787476,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00080,EDGEWOOD ISD-SAN ANTONIO,BEXAR,4,2019-08-01T00:00:00.000,813,2282.5,2.80750307503075,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00082,SAN ANTONIO ISD,BEXAR,4,2019-05-01T00:00:00.000,64,201.96,3.155625,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00082,SAN ANTONIO ISD,BEXAR,4,2019-06-01T00:00:00.000,97700,280623.37,2.8722965199590584,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00082,SAN ANTONIO ISD,BEXAR,4,2019-07-01T00:00:00.000,55954,165144.15,2.9514270650891805,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00082,SAN ANTONIO ISD,BEXAR,4,2019-08-01T00:00:00.000,9089,26472.4,2.9125756408845858,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00083,SOUTH SAN ANTONIO ISD,BEXAR,4,2019-06-01T00:00:00.000,16226,45636.14,2.8125317391840254,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00084,SOMERSET ISD,BEXAR,4,2019-06-01T00:00:00.000,5073,14637.47,2.885367632564557,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00084,SOMERSET ISD,BEXAR,4,2019-07-01T00:00:00.000,150,435.3,2.902,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00084,SOMERSET ISD,BEXAR,4,2019-08-01T00:00:00.000,166,473.1,2.85,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00086,EAST CENTRAL ISD,BEXAR,4,2019-06-01T00:00:00.000,8339,23880.46,2.863707878642523,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00086,EAST CENTRAL ISD,BEXAR,4,2019-07-01T00:00:00.000,8644,24974.7,2.889252660805183,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00086,EAST CENTRAL ISD,BEXAR,4,2019-08-01T00:00:00.000,226,650.6,2.8787610619469026,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00090,NORTHSIDE ISD-SAN ANTONIO,BEXAR,4,2019-06-01T00:00:00.000,121653,351152.42,2.886508511915037,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00090,NORTHSIDE ISD-SAN ANTONIO,BEXAR,4,2019-07-01T00:00:00.000,14180,37454.2,2.6413399153737656,ok
