source_dataset_id,source_label,ce_id,site_id,program_year,meal_service_type_public,rural_urban_status,sfsp_site_type_public,meal_types_served,breakfast_time,lunch_time,supper_time,am_snack_time,pm_snack_time,breakfast_meal_service_method,lunch_meal_service_method,supper_meal_service_method,am_snack_meal_service_method,pm_snack_meal_service_method,non_congregate_status_verified,non_congregate_source,rural_urban_source
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2197,2023,Congregate,Urban,Open,"Lunch, PM Snack",,11:30 - 12:30,,,15:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2200,2023,Congregate,Urban,Open,"Lunch, PM Snack",,11:30 - 12:30,,,15:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2201,2023,Congregate,Urban,Open,"Lunch, PM Snack",,11:30 - 12:30,,,15:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2207,2023,Congregate,Urban,Open,"Lunch, PM Snack",,11:30 - 12:30,,,15:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2221,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Lunch, PM Snack",,12:00 - 13:30,,,15:00 - 15:30,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2226,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Lunch, PM Snack",,11:00 - 12:30,,,15:00 - 15:45,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2232,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Breakfast, Lunch",8:00 - 8:30,12:00 - 13:00,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2233,2023,Congregate,Urban,Open,"Lunch, PM Snack",,11:30 - 12:30,,,15:00 - 16:00,,Self-Prep - Receives meals (Central Kitchen),,,Self-Prep - Receives meals (Central Kitchen),Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2234,2023,Congregate,Urban,Closed - Enrolled in Needy Area,"Breakfast, Lunch",8:00 - 9:00,11:30 - 12:30,,,,Self-Prep - Receives meals (Central Kitchen),Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
8ih4-zp65,TX Open Data 8ih4-zp65 (SFSPCONTACTS 2022-2023),01530,2236,2023,Congregate,Urban,Closed - Enrolled in Needy Area,Lunch,,11:30 - 12:30,,,,,Self-Prep - Receives meals (Central Kitchen),,,,Congregate,public-source meal service type (TX Open Data 8ih4-zp65),public-source rural/urban indicator (TX Open Data 8ih4-zp65)
