programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,School Food Authority,4,3,020-901,BRAZORIA,58,28,30,2021-05-01T00:00:00.000,154006,0,290602,0,0,344973.4400,0.0000,1136253.8200,0.0000,0.0000,152686.6600,1633913.9200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,School Food Authority,4,3,020-901,BRAZORIA,17,9,8,2021-06-01T00:00:00.000,27248,0,33816,0,0,61035.5200,0.0000,132220.5600,0.0000,0.0000,19842.7000,213098.7800
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,School Food Authority,4,3,020-901,BRAZORIA,16,8,8,2021-07-01T00:00:00.000,6204,0,6363,0,0,13896.9600,0.0000,24879.3300,0.0000,0.0000,3973.3100,42749.6000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00112,ALVIN ISD,Educational Institution,School Food Authority,4,3,020-901,BRAZORIA,19,0,19,2021-08-01T00:00:00.000,2845,0,4090,0,0,6372.8000,0.0000,15991.9000,0.0000,0.0000,2299.6900,24664.3900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2020-10-01T00:00:00.000,10203,0,15863,0,0,22038.4800,0.0000,59644.8800,0.0000,0.0000,8419.8800,90103.2400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2020-11-01T00:00:00.000,9965,0,14815,0,0,21524.4000,0.0000,55704.4000,0.0000,0.0000,7957.3700,85186.1700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2020-12-01T00:00:00.000,6049,0,9234,0,0,13065.8400,0.0000,34719.8400,0.0000,0.0000,4924.8900,52710.5700
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2021-01-01T00:00:00.000,10002,0,18439,0,0,22404.4800,0.0000,72096.4900,0.0000,0.0000,9739.3400,104240.3100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2021-02-01T00:00:00.000,7346,0,12223,0,0,16455.0400,0.0000,47791.9300,0.0000,0.0000,6615.3600,70862.3300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2021-03-01T00:00:00.000,9426,0,17388,0,0,21114.2400,0.0000,67987.0800,0.0000,0.0000,9182.9000,98284.2200
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2021-04-01T00:00:00.000,11483,0,21283,0,0,25721.9200,0.0000,83216.5300,0.0000,0.0000,11227.7900,120166.2400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,5,2,3,2021-05-01T00:00:00.000,8867,0,15837,0,0,19862.0800,0.0000,61922.6700,0.0000,0.0000,8426.4900,90211.2400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,1,1,0,2021-06-01T00:00:00.000,575,0,897,0,0,1288.0000,0.0000,3507.2700,0.0000,0.0000,493.4700,5288.7400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,School Food Authority,4,3,020-906,BRAZORIA,2,1,1,2021-07-01T00:00:00.000,21,0,1263,0,0,47.0400,0.0000,4938.3300,0.0000,0.0000,519.3400,5504.7100
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2020-11-01T00:00:00.000,40004,0,106341,0,0,86408.6400,0.0000,399842.1600,0.0000,0.0000,50339.7000,536590.5000
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2020-12-01T00:00:00.000,33685,0,92124,0,0,72759.6000,0.0000,346386.2400,0.0000,0.0000,43400.9500,462546.7900
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2021-01-01T00:00:00.000,40067,0,121397,0,0,89750.0800,0.0000,474662.2700,0.0000,0.0000,58384.1900,622796.5400
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2021-02-01T00:00:00.000,38527,0,111451,0,0,86300.4800,0.0000,435773.4100,0.0000,0.0000,53988.5400,576062.4300
2020-2021,SUMMERSFSPCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,School Food Authority,6,3,021-901,BRAZOS,23,4,19,2021-03-01T00:00:00.000,47265,0,136094,0,0,105873.6000,0.0000,532127.5400,0.0000,0.0000,65974.7700,703975.9100
