odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
01138_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01138,WICHITA FALLS ISD,Educational Institution,School Food Authority,9,2,243-905,WICHITA,7,0,7,2023-06-01T00:00:00.000,3894,0,6280,0,0,10007.5800,0.0000,28134.4000,0.0000,0.0000,3944.5700,42086.5500
01138_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01138,WICHITA FALLS ISD,Educational Institution,School Food Authority,9,2,243-905,WICHITA,5,0,5,2023-07-01T00:00:00.000,2546,0,4890,0,0,6543.2200,0.0000,21907.2000,0.0000,0.0000,2947.5300,31397.9500
01156_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01156,LEANDER ISD,Educational Institution,School Food Authority,13,4,246-913,WILLIAMSON,3,0,3,2023-06-01T00:00:00.000,3449,0,4720,0,0,8863.9300,0.0000,21145.6000,0.0000,0.0000,3097.9000,33107.4300
01156_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01156,LEANDER ISD,Educational Institution,School Food Authority,13,4,246-913,WILLIAMSON,3,0,3,2023-07-01T00:00:00.000,362,0,730,0,0,930.3400,0.0000,3270.4000,0.0000,0.0000,435.4100,4636.1500
01177_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01177,DENVER CITY ISD,Educational Institution,School Food Authority,17,1,251-901,YOAKUM,2,0,2,2023-06-01T00:00:00.000,1655,0,3462,0,0,4253.3500,0.0000,15509.7600,0.0000,0.0000,2049.1700,21812.2800
01214_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01214,"BOYS & GIRLS CLUB OF DENISON, INC",Private Non Profit Organization,Private Nonprofit,10,2,091-,GRAYSON,1,0,1,2023-06-01T00:00:00.000,721,0,2445,0,0,1852.9700,0.0000,10953.6000,0.0000,0.0000,1333.0100,14139.5800
01214_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01214,"BOYS & GIRLS CLUB OF DENISON, INC",Private Non Profit Organization,Private Nonprofit,10,2,091-,GRAYSON,1,0,1,2023-07-01T00:00:00.000,935,0,2275,0,0,2402.9500,0.0000,10192.0000,0.0000,0.0000,1307.6800,13902.6300
01214_8_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01214,"BOYS & GIRLS CLUB OF DENISON, INC",Private Non Profit Organization,Private Nonprofit,10,2,091-,GRAYSON,1,0,1,2023-08-01T00:00:00.000,157,0,401,0,0,403.4900,0.0000,1796.4800,0.0000,0.0000,228.5100,2428.4800
01512_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01512,"FORT WORTH COUNTRY DAY SCHOOL, INC.",Private Non Profit Organization,Private Nonprofit,11,2,220-,TARRANT,1,0,1,2023-06-01T00:00:00.000,1728,0,1836,0,0,4440.9600,0.0000,8225.2800,0.0000,0.0000,1065.9600,13732.2000
01512_7_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01512,"FORT WORTH COUNTRY DAY SCHOOL, INC.",Private Non Profit Organization,Private Nonprofit,11,2,220-,TARRANT,1,0,1,2023-07-01T00:00:00.000,3456,0,3585,0,0,8881.9200,0.0000,16060.8000,0.0000,0.0000,2097.9900,27040.7100
01518_6_2023_SUMMERSFSPCEREIMBURSEMENTS,2022-2023,SUMMERSFSPCEREIMBURSEMENTS,01518,"THE BOYS AND GIRLS CLUBS OF VERNON, INC",Private Non Profit Organization,Private Nonprofit,9,2,244-,WILBARGER,2,0,2,2023-06-01T00:00:00.000,2011,0,5662,0,0,5168.2700,0.0000,25365.7600,0.0000,0.0000,3173.9500,33707.9800
