programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00286,COPPELL ISD,Educational Institution,Public,10,2,057-922,DALLAS,2,2,0,2021-07-01T00:00:00.000,15260,0,15262,0,0,37577.7500,0.0000,65893.6800,0.0000,0.0000,103471.4300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00325,RANGER ISD,Educational Institution,Public,14,1,067-907,EASTLAND,3,0,3,2021-09-01T00:00:00.000,2282,0,4183,0,0,5619.4200,0.0000,18060.1000,0.0000,0.0000,23679.5200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01102,GRAND SALINE ISD,Educational Institution,Public,7,2,234-904,VAN ZANDT,4,0,4,2021-01-01T00:00:00.000,6715,0,12335,0,0,15175.9000,0.0000,44406.0000,0.0000,0.0000,59581.9000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01118,BRENHAM ISD,Educational Institution,Public,6,3,239-901,WASHINGTON,7,0,7,2021-09-01T00:00:00.000,17534,0,56396,0,0,43177.4700,0.0000,243489.7300,0.0000,0.0000,286667.2000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00518,DEER PARK ISD,Educational Institution,Public,4,3,101-908,HARRIS,16,3,13,2021-02-01T00:00:00.000,49477,0,88515,0,0,108576.0800,0.0000,318654.0000,0.0000,0.0000,427230.0800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00536,HALLSVILLE ISD,Educational Institution,Public,7,2,102-904,HARRISON,6,0,6,2020-11-01T00:00:00.000,13461,0,32876,0,0,30421.8600,0.0000,118353.6000,0.0000,0.0000,148775.4600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00849,DOUGLASS ISD,Educational Institution,Public,7,3,174-911,NACOGDOCHES,1,0,1,2021-08-01T00:00:00.000,650,0,2419,0,0,1600.6200,0.0000,10444.0300,0.0000,0.0000,12044.6500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00920,HIGHLAND PARK ISD,Educational Institution,Public,16,1,188-903,POTTER,4,1,3,2020-12-01T00:00:00.000,8926,0,8102,0,0,20172.7600,0.0000,29167.2000,0.0000,0.0000,49339.9600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00988,ACADEMY OF SKILLS AND KNOWLEDGE,Educational Institution,Charter,7,2,212-801,SMITH,3,0,3,2021-08-01T00:00:00.000,2096,0,7429,0,0,5161.4000,0.0000,32074.7000,0.0000,0.0000,37236.1000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01027,AZLE ISD,Educational Institution,Public,11,2,220-915,TARRANT,11,0,11,2021-04-01T00:00:00.000,38510,0,53906,0,0,87032.6000,0.0000,194061.6000,0.0000,0.0000,281094.2000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00337,PALMER ISD,Educational Institution,Public,10,2,070-910,ELLIS,3,1,2,2021-04-01T00:00:00.000,7802,0,15579,0,0,17632.5200,0.0000,56084.4000,0.0000,0.0000,73716.9200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00369,HONEY GROVE ISD,Educational Institution,Public,8,2,074-907,FANNIN,1,0,1,2021-07-01T00:00:00.000,0,0,9,0,0,0.0000,0.0000,38.8500,0.0000,0.0000,38.8500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00406,TEXAS CITY ISD,Educational Institution,Public,4,3,084-906,GALVESTON,13,0,13,2021-08-01T00:00:00.000,23437,0,45691,0,0,57713.6100,0.0000,197270.8900,0.0000,0.0000,254984.5000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00408,SANTA FE ISD,Educational Institution,Public,4,3,084-909,GALVESTON,7,2,5,2021-01-01T00:00:00.000,18491,0,39974,0,0,35020.1400,0.0000,143906.4000,0.0000,0.0000,178926.5400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00482,"VARNETT SCHOOLS, INC. (THE )",Educational Institution,Charter,4,3,101-814,HARRIS,3,0,3,2021-09-01T00:00:00.000,9576,0,12447,0,0,23580.9000,0.0000,53739.9200,0.0000,0.0000,77320.8200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00516,CROSBY ISD,Educational Institution,Public,4,3,101-906,HARRIS,8,1,7,2021-03-01T00:00:00.000,25931,0,48679,0,0,58604.0600,0.0000,175244.4000,0.0000,0.0000,233848.4600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,003-905,ANGELINA,5,0,5,2021-08-01T00:00:00.000,4854,0,11567,0,0,11952.9700,0.0000,49940.5200,0.0000,0.0000,61893.4900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00025,POTEET ISD,Educational Institution,Public,20,4,007-906,ATASCOSA,4,0,4,2021-08-01T00:00:00.000,5011,0,7499,0,0,12339.5800,0.0000,32376.9300,0.0000,0.0000,44716.5100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00030,MEDINA ISD,Educational Institution,Public,20,4,010-901,BANDERA,1,0,1,2021-09-01T00:00:00.000,1254,0,2441,0,0,3087.9700,0.0000,10539.0100,0.0000,0.0000,13626.9800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00041,SKIDMORE-TYNAN ISD,Educational Institution,Public,2,5,013-905,BEE,1,1,0,2021-06-01T00:00:00.000,1311,0,1771,0,0,2477.7900,0.0000,6375.6000,0.0000,0.0000,8853.3900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00087,SOUTHWEST ISD,Educational Institution,Public,20,4,015-912,BEXAR,18,0,18,2021-09-01T00:00:00.000,97967,0,195797,0,0,241243.7300,0.0000,845353.5400,0.0000,0.0000,1086597.2700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00118,PEARLAND ISD,Educational Institution,Public,4,3,020-908,BRAZORIA,23,1,22,2020-10-01T00:00:00.000,32726,0,119954,0,0,71189.0900,0.0000,429435.3200,0.0000,0.0000,500624.4100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01098,SAN FELIPE-DEL RIO,Educational Institution,Public,15,4,233-901,VAL VERDE,25,10,15,2021-02-01T00:00:00.000,59197,0,63330,0,0,133785.2200,0.0000,227988.0000,0.0000,0.0000,361773.2200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00794,CONNALLY ISD,Educational Institution,Public,12,2,161-921,MCLENNAN,5,0,5,2021-09-01T00:00:00.000,17998,0,27310,0,0,44320.0700,0.0000,117910.9200,0.0000,0.0000,162230.9900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00901,ALEDO ISD,Educational Institution,Public,11,2,184-907,PARKER,10,0,10,2021-09-01T00:00:00.000,22216,0,76286,0,0,54706.8900,0.0000,329364.8000,0.0000,0.0000,384071.6900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00922,MARFA ISD,Educational Institution,Public,18,1,189-901,PRESIDIO,2,1,1,2021-02-01T00:00:00.000,2527,0,2243,0,0,5711.0200,0.0000,8074.8000,0.0000,0.0000,13785.8200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00966,INGLESIDE ISD,Educational Institution,Public,2,5,205-903,SAN PATRICIO,1,1,0,2021-06-01T00:00:00.000,282,0,945,0,0,637.3200,0.0000,3402.0000,0.0000,0.0000,4039.3200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01072,DEL VALLE ISD,Educational Institution,Public,13,4,227-910,TRAVIS,14,14,0,2021-05-01T00:00:00.000,46018,0,56722,0,0,104000.6800,0.0000,204199.2000,0.0000,0.0000,308199.8800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01084,BIG SANDY ISD-BIG SANDY,Educational Institution,Public,7,2,230-901,UPSHUR,1,1,0,2021-03-01T00:00:00.000,3247,0,6734,0,0,7338.2200,0.0000,24242.4000,0.0000,0.0000,31580.6200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00488,"HOUSTON GATEWAY ACADEMY, INC.",Educational Institution,Charter,4,3,101-828,HARRIS,3,1,2,2020-11-01T00:00:00.000,4922,0,18390,0,0,10300.4700,0.0000,66204.0000,0.0000,0.0000,76504.4700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00524,KATY ISD,Educational Institution,Public,4,3,101-914,HARRIS,72,2,70,2021-09-01T00:00:00.000,274574,0,963550,0,0,676138.4700,0.0000,4160127.1200,0.0000,0.0000,4836265.5900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00693,KERRVILLE ISD,Educational Institution,Public,20,4,133-903,KERR,10,1,9,2021-03-01T00:00:00.000,27295,0,53578,0,0,61686.7000,0.0000,192880.8000,0.0000,0.0000,254567.5000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00715,LAMPASAS ISD,Educational Institution,Public,12,2,141-901,LAMPASAS,7,2,5,2020-12-01T00:00:00.000,9003,0,21132,0,0,20346.7800,0.0000,76075.2000,0.0000,0.0000,96421.9800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00762,WILSON ISD,Educational Institution,Public,17,1,153-907,LYNN,1,1,0,2021-06-01T00:00:00.000,30,0,30,0,0,56.7000,0.0000,108.0000,0.0000,0.0000,164.7000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00780,HARMONY PUBLIC SCHOOLS,Educational Institution,Charter,12,2,161-807,MCLENNAN,24,8,16,2021-03-01T00:00:00.000,21489,0,31368,0,0,48565.1400,0.0000,112924.8000,0.0000,0.0000,161489.9400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00159,SANTA ROSA ISD,Educational Institution,Public,1,5,031-914,CAMERON,3,0,3,2021-08-01T00:00:00.000,6306,0,7334,0,0,15528.5200,0.0000,31664.5400,0.0000,0.0000,47193.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00164,WHITE DEER ISD,Educational Institution,Public,16,1,033-904,CARSON,2,0,2,2021-03-01T00:00:00.000,1723,0,3904,0,0,3893.9800,0.0000,13976.3200,0.0000,0.0000,17870.3000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00227,LINDSAY ISD,Educational Institution,Public,11,2,049-907,COOKE,2,0,2,2021-09-01T00:00:00.000,1231,0,6929,0,0,3031.3300,0.0000,29915.9500,0.0000,0.0000,32947.2800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00229,SIVELLS BEND ISD,Educational Institution,Public,11,2,049-909,COOKE,1,0,1,2021-08-01T00:00:00.000,391,0,376,0,0,962.8300,0.0000,1623.3800,0.0000,0.0000,2586.2100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00332,ENNIS ISD,Educational Institution,Public,10,2,070-903,ELLIS,10,0,10,2021-08-01T00:00:00.000,35018,0,42941,0,0,86231.8200,0.0000,185397.7600,0.0000,0.0000,271629.5800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00388,STAFFORD MSD,Educational Institution,Public,4,3,079-910,FORT BEND,5,0,5,2021-09-01T00:00:00.000,21888,0,39846,0,0,53899.1900,0.0000,172035.1000,0.0000,0.0000,225934.2900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00126,MARATHON ISD,Educational Institution,Public,18,1,022-902,BREWSTER,1,0,1,2021-03-01T00:00:00.000,674,0,0,0,0,1273.8600,0.0000,0.0000,0.0000,0.0000,1273.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00169,QUEEN CITY ISD,Educational Institution,Public,8,2,034-907,CASS,3,0,3,2021-02-01T00:00:00.000,3783,0,7568,0,0,8549.5800,0.0000,27244.8000,0.0000,0.0000,35794.3800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00206,BLUE RIDGE ISD,Educational Institution,Public,10,2,043-917,COLLIN,3,2,1,2021-02-01T00:00:00.000,3879,0,7825,0,0,8766.5400,0.0000,28170.0000,0.0000,0.0000,36936.5400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00215,COMAL ISD,Educational Institution,Public,20,4,046-902,COMAL,31,0,31,2021-08-01T00:00:00.000,22929,0,91835,0,0,56462.6500,0.0000,396497.6100,0.0000,0.0000,452960.2600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00223,MUENSTER ISD,Educational Institution,Public,11,2,049-902,COOKE,2,0,2,2021-08-01T00:00:00.000,1729,0,4673,0,0,4257.6600,0.0000,20175.6700,0.0000,0.0000,24433.3300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00280,GRAND PRAIRIE ISD,Educational Institution,Public,10,2,057-910,DALLAS,37,0,37,2021-09-01T00:00:00.000,217396,0,360239,0,0,535337.6500,0.0000,1555331.8800,0.0000,0.0000,2090669.5300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01084,BIG SANDY ISD-BIG SANDY,Educational Institution,Public,7,2,230-901,UPSHUR,3,0,3,2021-09-01T00:00:00.000,4713,0,9124,0,0,11605.7600,0.0000,39392.8700,0.0000,0.0000,50998.6300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00748,LLANO ISD,Educational Institution,Public,13,4,150-901,LLANO,4,0,4,2021-02-01T00:00:00.000,11625,0,16130,0,0,26272.5000,0.0000,58068.0000,0.0000,0.0000,84340.5000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00795,ROBINSON ISD,Educational Institution,Public,12,2,161-922,MCLENNAN,5,0,5,2021-08-01T00:00:00.000,2083,0,5730,0,0,5129.3800,0.0000,24739.2700,0.0000,0.0000,29868.6500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00797,HALLSBURG ISD,Educational Institution,Public,12,2,161-924,MCLENNAN,2,1,1,2020-11-01T00:00:00.000,1160,0,2124,0,0,2621.6000,0.0000,7646.4000,0.0000,0.0000,10268.0000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00954,OVERTON ISD,Educational Institution,Public,7,2,201-908,RUSK,1,1,0,2021-01-01T00:00:00.000,4427,0,4528,0,0,10005.0200,0.0000,16300.8000,0.0000,0.0000,26305.8200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00976,SNYDER ISD,Educational Institution,Public,14,1,208-902,SCURRY,1,0,1,2021-07-01T00:00:00.000,1760,0,2739,0,0,4334.0000,0.0000,11825.6300,0.0000,0.0000,16159.6300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01067,"Promesa Public Schools, Inc.",Educational Institution,Charter,13,4,227-824,TRAVIS,4,0,4,2021-09-01T00:00:00.000,12393,0,13181,0,0,30517.7600,0.0000,56908.9600,0.0000,0.0000,87426.7200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00390,FAIRFIELD ISD,Educational Institution,Public,12,2,081-902,FREESTONE,5,1,4,2020-10-01T00:00:00.000,5352,0,12888,0,0,12095.5200,0.0000,46396.8000,0.0000,0.0000,58492.3200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00412,SOUTHLAND ISD,Educational Institution,Public,17,1,085-903,GARZA,1,0,1,2021-08-01T00:00:00.000,1294,0,1292,0,0,3186.4700,0.0000,5578.2100,0.0000,0.0000,8764.6800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00417,GONZALES ISD,Educational Institution,Public,13,3,089-901,GONZALES,5,0,5,2021-03-01T00:00:00.000,18117,0,23433,0,0,40944.4200,0.0000,84358.8000,0.0000,0.0000,125303.2200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00548,WIMBERLEY ISD,Educational Institution,Public,13,4,105-905,HAYS,4,0,4,2021-08-01T00:00:00.000,2620,0,10810,0,0,6451.7500,0.0000,46672.1700,0.0000,0.0000,53123.9200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00564,DONNA ISD,Educational Institution,Public,1,5,108-902,HIDALGO,37,17,20,2020-12-01T00:00:00.000,125021,0,125021,0,0,257347.1300,0.0000,450075.6000,0.0000,0.0000,707422.7300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00680,FALLS CITY ISD,Educational Institution,Public,20,4,128-904,KARNES,2,0,2,2021-09-01T00:00:00.000,4175,0,5828,0,0,10280.9300,0.0000,25162.3900,0.0000,0.0000,35443.3200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,4,1,3,2021-02-01T00:00:00.000,4041,0,9674,0,0,9132.6600,0.0000,34826.4000,0.0000,0.0000,43959.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00022,JOURDANTON ISD,Educational Institution,Public,20,4,007-902,ATASCOSA,3,0,3,2021-09-01T00:00:00.000,14980,0,20011,0,0,36888.2500,0.0000,86397.4900,0.0000,0.0000,123285.7400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00127,SILVERTON ISD,Educational Institution,Public,16,1,023-902,BRISCOE,1,0,1,2021-08-01T00:00:00.000,628,0,1228,0,0,1546.4500,0.0000,5301.8900,0.0000,0.0000,6848.3400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00195,ALLEN ISD,Educational Institution,Public,10,2,043-901,COLLIN,21,0,21,2021-08-01T00:00:00.000,20796,0,98829,0,0,51210.1400,0.0000,426694.2000,0.0000,0.0000,477904.3400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00278,DUNCANVILLE ISD,Educational Institution,Public,10,2,057-907,DALLAS,29,13,16,2021-02-01T00:00:00.000,19990,0,47565,0,0,45177.4000,0.0000,171234.0000,0.0000,0.0000,216411.4000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00335,MIDLOTHIAN ISD,Educational Institution,Public,10,2,070-908,ELLIS,19,7,12,2020-12-01T00:00:00.000,22208,0,60059,0,0,47010.6700,0.0000,215011.2200,0.0000,0.0000,262021.8900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00836,DUMAS ISD,Educational Institution,Public,16,1,171-901,MOORE,2,0,2,2021-06-01T00:00:00.000,0,0,2056,0,0,0.0000,0.0000,7401.6000,0.0000,0.0000,7401.6000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00893,BECKVILLE ISD,Educational Institution,Public,7,2,183-901,PANOLA,1,1,0,2021-06-01T00:00:00.000,1099,0,1099,0,0,2483.7400,0.0000,3956.4000,0.0000,0.0000,6440.1400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00923,PRESIDIO ISD,Educational Institution,Public,18,1,189-902,PRESIDIO,5,2,3,2021-03-01T00:00:00.000,8765,0,13401,0,0,19808.9000,0.0000,48243.6000,0.0000,0.0000,68052.5000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01060,HARMONY PUBLIC SCHOOLS,Educational Institution,Charter,13,4,227-816,TRAVIS,11,4,7,2021-05-01T00:00:00.000,5299,0,9944,0,0,11975.7400,0.0000,35798.4000,0.0000,0.0000,47774.1400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01153,ROUND ROCK ISD,Educational Institution,Public,13,4,246-909,WILLIAMSON,61,8,53,2020-12-01T00:00:00.000,71646,0,124155,0,0,154734.9300,0.0000,444474.9000,0.0000,0.0000,599209.8300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01186,"EL PASO EDUCATION INITIATIVE, INC. (THE) Vista Del Futuro",Educational Institution,Charter,19,1,071-809,EL PASO,1,1,0,2021-01-01T00:00:00.000,1421,0,1697,0,0,2685.6900,0.0000,6109.2000,0.0000,0.0000,8794.8900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00335,MIDLOTHIAN ISD,Educational Institution,Public,10,2,070-908,ELLIS,18,6,12,2021-05-01T00:00:00.000,34268,0,94370,0,0,72104.7300,0.0000,337844.6000,0.0000,0.0000,409949.3300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00372,TRENTON ISD,Educational Institution,Public,10,2,074-912,FANNIN,3,1,2,2021-01-01T00:00:00.000,6587,0,6231,0,0,14169.1900,0.0000,22306.9800,0.0000,0.0000,36476.1700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00517,CYPRESS-FAIRBANKS ISD,Educational Institution,Public,4,3,101-907,HARRIS,113,25,88,2021-05-01T00:00:00.000,590802,0,1119438,0,0,1326430.9400,0.0000,4029976.8000,0.0000,0.0000,5356407.7400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00539,CHANNING ISD,Educational Institution,Public,16,1,103-901,HARTLEY,2,1,1,2021-05-01T00:00:00.000,1460,0,1672,0,0,3299.6000,0.0000,6019.2000,0.0000,0.0000,9318.8000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00628,BOLES ISD,Educational Institution,Public,10,2,116-916,HUNT,1,0,1,2021-09-01T00:00:00.000,2621,0,5952,0,0,6454.2100,0.0000,25697.7600,0.0000,0.0000,32151.9700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00764,NORTH ZULCH ISD,Educational Institution,Public,6,3,154-903,MADISON,1,0,1,2020-10-01T00:00:00.000,2423,0,4200,0,0,5475.9800,0.0000,15120.0000,0.0000,0.0000,20595.9800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00007,SLOCUM ISD,Educational Institution,Public,7,2,001-909,ANDERSON,3,1,2,2020-11-01T00:00:00.000,1987,0,3047,0,0,4490.6200,0.0000,10969.2000,0.0000,0.0000,15459.8200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00043,ACADEMY ISD,Educational Institution,Public,12,2,014-901,BELL,5,1,4,2020-12-01T00:00:00.000,4623,0,10514,0,0,8737.4700,0.0000,37850.4000,0.0000,0.0000,46587.8700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00089,FT SAM HOUSTON ISD,Educational Institution,Public,20,4,015-914,BEXAR,2,1,1,2020-10-01T00:00:00.000,9896,0,16673,0,0,20843.5200,0.0000,59689.3400,0.0000,0.0000,80532.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00207,COMMUNITY ISD,Educational Institution,Public,10,2,043-918,COLLIN,5,1,4,2021-05-01T00:00:00.000,12156,0,29666,0,0,27472.5600,0.0000,106797.6000,0.0000,0.0000,134270.1600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00306,LITTLE ELM ISD,Educational Institution,Public,11,2,061-914,DENTON,9,0,9,2021-08-01T00:00:00.000,20071,0,50123,0,0,49424.8300,0.0000,216406.0500,0.0000,0.0000,265830.8800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00376,SCHULENBURG ISD,Educational Institution,Public,13,4,075-903,FAYETTE,1,0,1,2021-09-01T00:00:00.000,4482,0,7254,0,0,11036.9200,0.0000,31319.1400,0.0000,0.0000,42356.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00999,GLEN ROSE ISD,Educational Institution,Public,11,2,213-901,SOMERVELL,5,1,4,2021-09-01T00:00:00.000,9225,0,21313,0,0,22716.5600,0.0000,92018.8700,0.0000,0.0000,114735.4300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01035,MERKEL ISD,Educational Institution,Public,14,1,221-904,TAYLOR,3,1,2,2021-02-01T00:00:00.000,7097,0,10097,0,0,16039.2200,0.0000,36349.2000,0.0000,0.0000,52388.4200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01090,UNION GROVE ISD,Educational Institution,Public,7,2,230-908,UPSHUR,3,0,3,2021-08-01T00:00:00.000,1863,0,5357,0,0,4587.6300,0.0000,23128.8400,0.0000,0.0000,27716.4700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01115,ROYAL ISD,Educational Institution,Public,4,3,237-905,WALLER,5,1,4,2021-04-01T00:00:00.000,26866,0,34377,0,0,60717.1600,0.0000,123757.2000,0.0000,0.0000,184474.3600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01181,OLNEY ISD,Educational Institution,Public,9,2,252-903,YOUNG,4,1,3,2021-05-01T00:00:00.000,3770,0,6141,0,0,8520.2000,0.0000,22107.6000,0.0000,0.0000,30627.8000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,06493,"Promesa Academy, Inc.",Educational Institution,Charter,20,4,015-839,BEXAR,2,1,1,2021-05-01T00:00:00.000,1181,0,1517,0,0,2232.0900,0.0000,5430.8600,0.0000,0.0000,7662.9500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00754,LUBBOCK-COOPER ISD,Educational Institution,Public,17,1,152-906,LUBBOCK,11,3,8,2020-10-01T00:00:00.000,20497,0,66510,0,0,46323.2200,0.0000,238105.8000,0.0000,0.0000,284429.0200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00788,RIESEL ISD,Educational Institution,Public,12,2,161-912,MCLENNAN,2,0,2,2020-12-01T00:00:00.000,2554,0,5136,0,0,5772.0400,0.0000,18489.6000,0.0000,0.0000,24261.6400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00820,LORAINE ISD,Educational Institution,Public,14,1,168-902,MITCHELL,1,0,1,2021-08-01T00:00:00.000,1363,0,1553,0,0,3356.3800,0.0000,6705.0700,0.0000,0.0000,10061.4500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00834,SPLENDORA ISD,Educational Institution,Public,6,3,170-907,MONTGOMERY,6,0,6,2021-08-01T00:00:00.000,20479,0,36820,0,0,50429.5300,0.0000,158970.3500,0.0000,0.0000,209399.8800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00979,MORAN ISD,Educational Institution,Public,14,1,209-902,SHACKELFORD,1,0,1,2021-08-01T00:00:00.000,381,0,572,0,0,938.2100,0.0000,2469.6100,0.0000,0.0000,3407.8200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00983,TENAHA ISD,Educational Institution,Public,7,3,210-904,SHELBY,1,0,1,2021-08-01T00:00:00.000,3878,0,5349,0,0,9549.5700,0.0000,23094.3000,0.0000,0.0000,32643.8700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00407,HITCHCOCK ISD,Educational Institution,Public,4,3,084-908,GALVESTON,5,2,3,2021-03-01T00:00:00.000,14511,0,19572,0,0,32794.8600,0.0000,70459.2000,0.0000,0.0000,103254.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00427,HOWE ISD,Educational Institution,Public,10,2,091-905,GRAYSON,4,0,4,2021-01-01T00:00:00.000,3757,0,13099,0,0,8148.5700,0.0000,47156.4000,0.0000,0.0000,55304.9700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00465,QUANAH ISD,Educational Institution,Public,9,2,099-903,HARDEMAN,3,0,3,2020-12-01T00:00:00.000,4842,0,5535,0,0,10942.9200,0.0000,19926.0000,0.0000,0.0000,30868.9200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00587,WHITNEY ISD,Educational Institution,Public,12,2,109-911,HILL,5,1,4,2021-04-01T00:00:00.000,9710,0,20821,0,0,21944.6000,0.0000,74955.6000,0.0000,0.0000,96900.2000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00671,GODLEY ISD,Educational Institution,Public,11,2,126-911,JOHNSON,4,0,4,2021-03-01T00:00:00.000,7379,0,18833,0,0,16676.5400,0.0000,67798.8000,0.0000,0.0000,84475.3400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00751,LUBBOCK ISD,Educational Institution,Public,17,1,152-901,LUBBOCK,55,8,47,2020-12-01T00:00:00.000,147843,0,201397,0,0,331057.1400,0.0000,725029.2000,0.0000,0.0000,1056086.3400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00001,CAYUGA ISD,Educational Institution,Public,7,2,001-902,ANDERSON,3,0,3,2020-12-01T00:00:00.000,2067,0,4436,0,0,4671.4200,0.0000,15880.8800,0.0000,0.0000,20552.3000
