programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00086,EAST CENTRAL ISD,Educational Institution,Public,20,4,015-911,BEXAR,3,3,0,2021-07-01T00:00:00.000,5749,0,5806,0,0,14156.9100,0.0000,25067.4000,0.0000,0.0000,39224.3100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00110,HUBBARD ISD-DE KALB,Educational Institution,Public,8,2,019-913,BOWIE,1,0,1,2021-08-01T00:00:00.000,358,0,466,0,0,881.5700,0.0000,2011.9500,0.0000,0.0000,2893.5200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,031-912,CAMERON,57,41,16,2021-04-01T00:00:00.000,112467,0,122406,0,0,254175.4200,0.0000,440661.6000,0.0000,0.0000,694837.0200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01115,ROYAL ISD,Educational Institution,Public,4,3,237-905,WALLER,5,1,4,2021-05-01T00:00:00.000,26307,0,32309,0,0,59453.8200,0.0000,116312.4000,0.0000,0.0000,175766.2200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01116,MONAHANS-WICKETT-PYOTE ISD,Educational Institution,Public,18,1,238-902,WARD,5,0,5,2021-04-01T00:00:00.000,7208,0,21246,0,0,16290.0800,0.0000,76485.6000,0.0000,0.0000,92775.6800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01143,LASARA ISD,Educational Institution,Public,1,5,245-901,WILLACY,1,1,0,2021-07-01T00:00:00.000,1857,0,1857,0,0,4572.8600,0.0000,8017.5900,0.0000,0.0000,12590.4500
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00869,CORPUS CHRISTI ISD,Educational Institution,Public,2,5,178-904,NUECES,64,6,58,2021-04-01T00:00:00.000,163705,0,248458,0,0,369973.3000,0.0000,894448.8000,0.0000,0.0000,1264422.1000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00889,MINERAL WELLS ISD,Educational Institution,Public,11,2,182-903,PALO PINTO,6,1,5,2021-04-01T00:00:00.000,37631,0,43840,0,0,85046.0600,0.0000,157824.0000,0.0000,0.0000,242870.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00920,HIGHLAND PARK ISD,Educational Institution,Public,16,1,188-903,POTTER,4,1,3,2021-04-01T00:00:00.000,13966,0,13863,0,0,31563.1600,0.0000,49906.8000,0.0000,0.0000,81469.9600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00928,LEAKEY ISD,Educational Institution,Public,20,4,193-902,REAL,2,1,1,2020-11-01T00:00:00.000,1695,0,1859,0,0,3830.7000,0.0000,6692.4000,0.0000,0.0000,10523.1000
