programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement,countydistrictcode
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01535,"SOUTH PLAINS FOOD BANK, INC.",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,9,0,9,2022-05-01T00:00:00.000,0,0,268,211,0,0.0,0.0,1106.84,202.56,0.0,140.7,1450.1,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01549,WEST TEXAS FOOD BANK,Private Non Profit Organization,Private Nonprofit,18,1,ECTOR,12,0,12,2022-06-01T00:00:00.000,0,0,9675,5259,0,0.0,0.0,39957.75,5048.64,0.0,4802.37,49808.76,068-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05561,"Boys and Girls Club of Hill County, Texas, Incorporated",Private Non Profit Organization,Private Nonprofit,12,2,HILL,1,0,1,2022-07-01T00:00:00.000,336,0,812,0,0,796.32,0.0,3353.56,0.0,0.0,430.15,4580.03,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01535,"SOUTH PLAINS FOOD BANK, INC.",Private Non Profit Organization,Private Nonprofit,17,1,LUBBOCK,18,0,18,2022-06-01T00:00:00.000,1333,0,11435,5829,0,3159.21,0.0,47226.55,5595.84,0.0,5943.81,61925.41,152-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01636,CITYSQUARE,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,102,0,102,2022-08-01T00:00:00.000,394,8,26541,10567,0,933.78,7.68,109614.33,10144.32,0.0,10539.49,131239.6,057-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06533,THE SWEETWATER HOUSE OF PEACE,Private Non Profit Organization,Private Nonprofit,14,1,NOLAN,2,0,2,2022-06-01T00:00:00.000,0,0,2286,0,0,0.0,0.0,9441.18,0.0,0.0,988.7,10429.88,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00774,EAGLE PASS ISD,Educational Institution,School Food Authority,20,4,MAVERICK,5,0,5,2022-06-01T00:00:00.000,0,0,12685,0,0,0.0,0.0,52389.05,0.0,0.0,5486.26,57875.31,159-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01551,WICHITA FALLS AREA FOOD BANK,Private Non Profit Organization,Private Nonprofit,9,2,WICHITA,6,0,6,2022-07-01T00:00:00.000,0,0,4933,4695,0,0.0,0.0,20373.29,4507.2,0.0,2315.21,27195.7,243-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04838,BOYS AND GIRLS CLUB OF ZAPATA COUNTY,Private Non Profit Organization,Private Nonprofit,1,5,ZAPATA,1,0,1,2022-06-01T00:00:00.000,0,0,716,772,0,0.0,0.0,2957.08,741.12,0.0,400.38,4098.58,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,06834,K-Nation Group,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,11,0,11,2022-07-01T00:00:00.000,30364,0,30364,0,0,71962.68,0.0,125403.32,0.0,0.0,20267.97,217633.97,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03152,"ROLLING PLAINS MANAGEMENT CORPORATION OF BAYLOR, COTTLE, FOARD,",Private Non Profit Organization,Private Nonprofit,9,2,FOARD,1,0,1,2022-07-01T00:00:00.000,0,0,568,0,0,0.0,0.0,2345.84,0.0,0.0,245.66,2591.5,078-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,00933,PECOS-BARSTOW-TOYAH ISD,Educational Institution,School Food Authority,18,1,REEVES,3,0,3,2022-06-01T00:00:00.000,5186,0,7340,0,0,12290.82,0.0,30314.2,0.0,0.0,4393.26,46998.28,195-901
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,04742,Be A Champion Inc.,Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,3,0,3,2022-05-01T00:00:00.000,15,0,15,0,0,35.55,0.0,61.95,0.0,0.0,9.09,106.59,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05006,BRIGHT NUTRITION,Private Non Profit Organization,Private Nonprofit,1,5,CAMERON,38,0,38,2022-06-01T00:00:00.000,36172,0,36172,0,0,85727.64,0.0,149390.36,0.0,0.0,19724.94,254842.94,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05143,SOMEONE WHO CARES MINISTRIES,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,5,0,5,2022-08-01T00:00:00.000,1727,0,1727,0,0,4092.99,0.0,7132.51,0.0,0.0,1152.78,12378.28,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,03689,"S.Tracy Howard Project, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,DENTON,21,0,21,2022-08-01T00:00:00.000,5320,0,5620,200,0,12608.4,0.0,23210.6,192.0,0.0,3704.35,39715.35,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01707,Intrinsic Foundation,Private Non Profit Organization,Private Nonprofit,10,2,DALLAS,4,0,4,2022-08-01T00:00:00.000,1802,0,2094,480,0,4270.74,0.0,8648.22,460.8,0.0,1385.53,14765.29,
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,01519,UNIVERSITY OF TEXAS AT ARLINGTON,Educational Institution,Residential Camp,11,2,TARRANT,1,0,1,2022-06-01T00:00:00.000,52,0,52,0,52,123.24,0.0,214.76,0.0,214.76,46.8,599.56,220-
2021-2022,SUMMERSFSPCEREIMBURSEMENTS,05656,"Kidz Grub, Inc.",Private Non Profit Organization,Private Nonprofit,4,3,HARRIS,9,0,9,2022-08-01T00:00:00.000,0,0,9781,9589,0,0.0,0.0,40395.53,9205.44,0.0,5356.99,54957.96,
