programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00200,MCKINNEY ISD,Educational Institution,Public,10,2,043-907,COLLIN,29,29,2022-03-01T00:00:00.000,99850,0,246073,0,0,236644.5,0,1016281.49,0,0,1252925.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01006,SONORA ISD,Educational Institution,Public,15,4,218-901,SUTTON,2,2,2021-11-01T00:00:00.000,7509,0,6811,0,0,16820.16,0,26631.01,0,0,43451.17
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00770,TIDEHAVEN ISD,Educational Institution,Public,3,3,158-902,MATAGORDA,4,4,2021-11-01T00:00:00.000,6526,0,11986,0,0,14618.24,0,46865.26,0,0,61483.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00111,LEARY ISD,Educational Institution,Public,8,2,019-914,BOWIE,1,1,2022-04-01T00:00:00.000,1331,0,1500,0,0,3154.47,0,6195,0,0,9349.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00303,ARGYLE ISD,Educational Institution,Public,11,2,061-910,DENTON,3,3,2022-01-01T00:00:00.000,7332,0,18447,0,0,17376.84,0,76186.11,0,0,93562.95
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01327,ST PETER - ST JOSEPH CHILDREN'S HOME,Private Non Profit Organization,RCCI,20,4,015-,BEXAR,1,1,2021-10-01T00:00:00.000,1347,0,1339,0,0,3017.28,0,5235.49,0,0,8252.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01163,WINK-LOVING ISD,Educational Institution,Public,18,1,248-902,WINKLER,2,2,2022-01-01T00:00:00.000,971,0,3420,0,0,2301.27,0,14124.6,0,0,16425.87
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00588,AQUILLA ISD,Educational Institution,Public,12,2,109-912,HILL,1,1,2022-03-01T00:00:00.000,1947,0,3316,0,0,4614.39,0,13695.08,0,0,18309.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01115,ROYAL ISD,Educational Institution,Public,4,3,237-905,WALLER,4,4,2021-10-01T00:00:00.000,24100,0,37762,0,0,53984,0,147649.42,0,0,201633.42
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01228,BRAZOS COUNTY JUVENILE SERVICES,Government Agency,RCCI,6,3,021-,BRAZOS,2,2,2022-02-01T00:00:00.000,1055,0,1075,0,0,2500.35,0,4439.75,0,0,6940.1
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00097,MERIDIAN ISD,Educational Institution,Public,12,2,018-902,BOSQUE,2,2,2021-12-01T00:00:00.000,2082,0,3786,0,0,4663.68,0,14803.26,0,0,19466.94
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00062,"HERITAGE ACADEMY CHARTER SCHOOLS, INC.",Educational Institution,Charter,20,4,015-815,BEXAR,5,5,2022-05-01T00:00:00.000,2065,0,5214,0,0,4894.05,0,21533.82,0,0,26427.87
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00642,JASPER ISD,Educational Institution,Public,5,3,121-904,JASPER,4,4,2021-11-01T00:00:00.000,17673,0,24444,0,0,39587.52,0,95576.04,0,0,135163.56
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00220,EDEN CONS ISD,Educational Institution,Public,15,4,048-901,CONCHO,1,1,2022-04-01T00:00:00.000,1132,0,2199,0,0,2682.84,0,9081.87,0,0,11764.71
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00776,ROCHELLE ISD,Educational Institution,Public,15,4,160-904,MCCULLOCH,1,1,2021-12-01T00:00:00.000,463,0,653,0,0,1037.12,0,2553.23,0,0,3590.35
2021-2022,SUMMERSSOCEREIMBURSEMENTS,05361,ITALY ISD,Educational Institution,Public,10,2,070-907,ELLIS,2,2,2022-04-01T00:00:00.000,4796,0,9963,0,0,11366.52,0,41147.19,0,0,52513.71
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00047,KILLEEN ISD,Educational Institution,Public,12,2,014-906,BELL,51,51,2022-03-01T00:00:00.000,265618,0,507405,0,0,629514.66,0,2095582.65,0,0,2725097.31
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00923,PRESIDIO ISD,Educational Institution,Public,18,1,189-902,PRESIDIO,3,3,2022-02-01T00:00:00.000,6547,0,15060,0,0,15516.39,0,62197.8,0,0,77714.19
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,031-901,CAMERON,60,54,2021-11-01T00:00:00.000,325239,0,470136,0,0,728535.36,0,1838231.76,0,0,2566767.12
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00205,WYLIE ISD-WYLIE,Educational Institution,Public,10,2,043-914,COLLIN,20,20,2021-10-01T00:00:00.000,55490,0,165707,0,0,124297.6,0,647914.37,0,0,772211.97
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00403,GALVESTON ISD,Educational Institution,Public,4,3,084-902,GALVESTON,13,13,2021-12-01T00:00:00.000,41449,0,64686,0,0,92845.76,0,252922.26,0,0,345768.02
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00930,RIVERCREST ISD,Educational Institution,Public,8,2,194-903,RED RIVER,3,3,2022-03-01T00:00:00.000,6081,0,7862,0,0,14411.97,0,32470.06,0,0,46882.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00874,TULOSO-MIDWAY ISD,Educational Institution,Public,2,5,178-912,NUECES,5,5,2021-12-01T00:00:00.000,27208,0,33458,0,0,60945.92,0,130820.78,0,0,191766.7
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01098,SAN FELIPE-DEL RIO,Educational Institution,Public,15,4,233-901,VAL VERDE,9,9,2022-06-01T00:00:00.000,15962,0,28291,0,0,37829.94,0,116841.83,0,0,154671.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00206,BLUE RIDGE ISD,Educational Institution,Public,10,2,043-917,COLLIN,3,1,2022-02-01T00:00:00.000,4248,0,8971,0,0,10067.76,0,37050.23,0,0,47117.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00002,ELKHART ISD,Educational Institution,Public,7,2,001-903,ANDERSON,4,4,2022-01-01T00:00:00.000,5982,0,14967,0,0,14177.34,0,61813.71,0,0,75991.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00526,LA PORTE ISD,Educational Institution,Public,4,3,101-916,HARRIS,12,12,2022-05-01T00:00:00.000,40760,0,87898,0,0,96601.2,0,363018.74,0,0,459619.94
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00741,MEXIA ISD,Educational Institution,Public,12,2,147-903,LIMESTONE,4,4,2022-01-01T00:00:00.000,12550,0,14850,0,0,29743.5,0,61330.5,0,0,91074
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00614,FORSAN ISD,Educational Institution,Public,18,1,114-904,HOWARD,2,2,2022-04-01T00:00:00.000,4437,0,9464,0,0,10515.69,0,39086.32,0,0,49602.01
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01015,"LENA POPE HOME, INC.",Educational Institution,Charter,11,2,220-815,TARRANT,1,1,2022-02-01T00:00:00.000,3282,0,6700,0,0,7778.34,0,27671,0,0,35449.34
