programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00169,QUEEN CITY ISD,Educational Institution,Public,8,2,034-907,CASS,3,3,2021-12-01T00:00:00.000,5325,0,6823,0,0,11928,0,26677.93,0,0,38605.93
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01086,ORE CITY ISD,Educational Institution,Public,7,2,230-903,UPSHUR,3,3,2022-05-01T00:00:00.000,6805,0,12739,0,0,16127.85,0,52612.07,0,0,68739.92
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00721,VYSEHRAD ISD,Educational Institution,Public,3,3,143-904,LAVACA,1,1,2021-10-01T00:00:00.000,643,0,1720,0,0,1440.32,0,6725.2,0,0,8165.52
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01163,WINK-LOVING ISD,Educational Institution,Public,18,1,248-902,WINKLER,2,2,2021-11-01T00:00:00.000,949,0,3153,0,0,2125.76,0,12328.23,0,0,14453.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01008,TULIA ISD,Educational Institution,Public,16,1,219-903,SWISHER,3,3,2021-10-01T00:00:00.000,9934,0,10973,0,0,22252.16,0,42904.43,0,0,65156.59
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00725,LEXINGTON ISD,Educational Institution,Public,13,4,144-902,LEE,3,3,2022-03-01T00:00:00.000,6291,0,10560,0,0,14909.67,0,43612.8,0,0,58522.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01078,APPLE SPRINGS ISD,Educational Institution,Public,6,3,228-905,TRINITY,2,2,2022-05-01T00:00:00.000,2753,0,2853,0,0,6524.61,0,11782.89,0,0,18307.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00837,SUNRAY ISD,Educational Institution,Public,16,1,171-902,MOORE,4,3,2021-12-01T00:00:00.000,3763,0,3504,0,0,8429.12,0,13700.64,0,0,22129.76
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00542,RULE ISD,Educational Institution,Public,14,1,104-903,HASKELL,1,1,2021-10-01T00:00:00.000,2026,0,1718,0,0,4538.24,0,6717.38,0,0,11255.62
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,Educational Institution,Charter,14,1,221-801,TAYLOR,41,41,2022-02-01T00:00:00.000,56372,0,87174,0,0,133601.64,0,360028.62,0,0,493630.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00384,LAMAR CONSOLIDATED ISD,Educational Institution,Public,4,3,079-901,FORT BEND,48,48,2022-02-01T00:00:00.000,190845,0,475724,0,0,452302.65,0,1964740.12,0,0,2417042.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00246,LUMIN EDUCATION,Educational Institution,Charter,10,2,057-805,DALLAS,1,1,2022-03-01T00:00:00.000,1715,0,0,0,0,4064.55,0,0,0,0,4064.55
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,36,36,2022-02-01T00:00:00.000,205596,0,339255,0,0,487262.52,0,1401123.15,0,0,1888385.67
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00127,SILVERTON ISD,Educational Institution,Public,16,1,023-902,BRISCOE,1,1,2022-04-01T00:00:00.000,1338,0,2339,0,0,3171.06,0,9660.07,0,0,12831.13
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00312,MEYERSVILLE ISD,Educational Institution,Public,3,3,062-906,DEWITT,1,1,2021-10-01T00:00:00.000,1565,0,2134,0,0,3505.6,0,8343.94,0,0,11849.54
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00243,TEXLINE ISD,Educational Institution,Public,16,1,056-902,DALLAM,1,1,2022-01-01T00:00:00.000,1384,0,1807,0,0,3280.08,0,7462.91,0,0,10742.99
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00202,PLANO ISD,Educational Institution,Public,10,2,043-910,COLLIN,75,74,2021-11-01T00:00:00.000,163965,0,491812,0,0,367281.6,0,1922984.92,0,0,2290266.52
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01078,APPLE SPRINGS ISD,Educational Institution,Public,6,3,228-905,TRINITY,2,2,2022-04-01T00:00:00.000,2869,0,2987,0,0,6799.53,0,12336.31,0,0,19135.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00595,SUNDOWN ISD,Educational Institution,Public,17,1,110-907,HOCKLEY,4,4,2021-10-01T00:00:00.000,3176,0,6738,0,0,7114.24,0,26345.58,0,0,33459.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01334,FATHER YERMO SCHOOLS,Private Non Profit Organization,Private,19,1,071-,EL PASO,1,1,2021-10-01T00:00:00.000,1427,0,3433,0,0,3196.48,0,13423.03,0,0,16619.51
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00059,ACADEMY OF AMERICA DBA BEXAR COUNTY ACADEMY,Educational Institution,Charter,20,4,015-809,BEXAR,1,1,2022-06-01T00:00:00.000,1465,0,1576,0,0,3472.05,0,6508.88,0,0,9980.93
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01186,"EL PASO EDUCATION INITIATIVE, INC. (THE) Vista Del Futuro",Educational Institution,Charter,19,1,071-809,EL PASO,1,1,2022-07-01T00:00:00.000,35,0,80,0,0,82.95,0,330.4,0,0,413.35
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01141,VERNON ISD,Educational Institution,Public,9,2,244-903,WILBARGER,5,5,2022-02-01T00:00:00.000,10275,0,15714,0,0,24351.75,0,64898.82,0,0,89250.57
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00015,CENTRAL ISD,Educational Institution,Public,7,3,003-907,ANGELINA,2,1,2022-02-01T00:00:00.000,6104,0,16204,0,0,14466.48,0,66922.52,0,0,81389
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00879,VEGA ISD,Educational Institution,Public,16,1,180-902,OLDHAM,1,1,2021-12-01T00:00:00.000,1603,0,1533,0,0,3590.72,0,5994.03,0,0,9584.75
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00374,FLATONIA ISD,Educational Institution,Public,13,4,075-901,FAYETTE,2,2,2021-11-01T00:00:00.000,2134,0,6517,0,0,4780.16,0,25481.47,0,0,30261.63
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00143,LULING ISD,Educational Institution,Public,13,4,028-903,CALDWELL,3,3,2021-10-01T00:00:00.000,7352,0,15142,0,0,16468.48,0,59205.22,0,0,75673.7
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00239,LORENZO ISD,Educational Institution,Public,17,1,054-902,CROSBY,1,1,2021-11-01T00:00:00.000,3915,0,3871,0,0,8769.6,0,15135.61,0,0,23905.21
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00640,BROOKELAND ISD,Educational Institution,Public,5,3,121-902,JASPER,2,2,2021-10-01T00:00:00.000,1589,0,4647,0,0,3559.36,0,18169.77,0,0,21729.13
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00307,CUERO ISD,Educational Institution,Public,3,3,062-901,DEWITT,4,4,2021-12-01T00:00:00.000,9459,0,11964,0,0,21188.16,0,46779.24,0,0,67967.4
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00105,MAUD ISD,Educational Institution,Public,8,2,019-903,BOWIE,1,1,2022-01-01T00:00:00.000,3562,0,5334,0,0,8441.94,0,22029.42,0,0,30471.36
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00968,ODEM-EDROY ISD,Educational Institution,Public,2,5,205-905,SAN PATRICIO,4,4,2022-05-01T00:00:00.000,7224,0,11766,0,0,17120.88,0,48593.58,0,0,65714.46
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00242,DALHART ISD,Educational Institution,Public,16,1,056-901,DALLAM,4,4,2022-05-01T00:00:00.000,12735,0,18941,0,0,30181.95,0,78226.33,0,0,108408.28
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00904,GARNER ISD,Educational Institution,Public,11,2,184-911,PARKER,1,1,2021-10-01T00:00:00.000,4292,0,3488,0,0,9614.08,0,13638.08,0,0,23252.16
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00417,GONZALES ISD,Educational Institution,Public,13,3,089-901,GONZALES,4,4,2022-06-01T00:00:00.000,6492,0,6591,0,0,15386.04,0,27220.83,0,0,42606.87
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00422,PAMPA ISD,Educational Institution,Public,16,1,090-904,GRAY,7,6,2021-12-01T00:00:00.000,15261,0,23972,0,0,34184.64,0,93730.52,0,0,127915.16
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00558,LA POYNOR ISD,Educational Institution,Public,7,2,107-910,HENDERSON,3,3,2022-03-01T00:00:00.000,1933,0,4349,0,0,4581.21,0,17961.37,0,0,22542.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00153,LA FERIA ISD,Educational Institution,Public,1,5,031-905,CAMERON,8,7,2022-02-01T00:00:00.000,35785,0,41466,0,0,84810.45,0,171254.58,0,0,256065.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01078,APPLE SPRINGS ISD,Educational Institution,Public,6,3,228-905,TRINITY,2,2,2022-02-01T00:00:00.000,2493,0,2641,0,0,5908.41,0,10907.33,0,0,16815.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00972,RICHLAND SPRINGS ISD,Educational Institution,Public,15,2,206-902,SAN SABA,1,1,2021-12-01T00:00:00.000,785,0,877,0,0,1758.4,0,3429.07,0,0,5187.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00303,ARGYLE ISD,Educational Institution,Public,11,2,061-910,DENTON,3,3,2022-03-01T00:00:00.000,8711,0,21295,0,0,20645.07,0,87948.35,0,0,108593.42
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01151,JARRELL ISD,Educational Institution,Public,13,4,246-907,WILLIAMSON,4,4,2022-03-01T00:00:00.000,15928,0,36227,0,0,37749.36,0,149617.51,0,0,187366.87
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00218,GUSTINE ISD,Educational Institution,Public,14,1,047-903,COMANCHE,1,1,2022-03-01T00:00:00.000,1956,0,2054,0,0,4635.72,0,8483.02,0,0,13118.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00551,ATHENS ISD,Educational Institution,Public,7,2,107-901,HENDERSON,5,5,2022-03-01T00:00:00.000,14967,0,31677,0,0,35471.79,0,130826.01,0,0,166297.8
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01143,LASARA ISD,Educational Institution,Public,1,5,245-901,WILLACY,1,1,2022-01-01T00:00:00.000,1941,0,2283,0,0,4600.17,0,9428.79,0,0,14028.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00720,SHINER ISD,Educational Institution,Public,3,3,143-903,LAVACA,2,2,2022-04-01T00:00:00.000,3337,0,8679,0,0,7908.69,0,35844.27,0,0,43752.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00811,MILANO ISD,Educational Institution,Public,6,2,166-903,MILAM,3,3,2022-04-01T00:00:00.000,4410,0,5771,0,0,10451.7,0,23834.23,0,0,34285.93
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00126,MARATHON ISD,Educational Institution,Public,18,1,022-902,BREWSTER,1,1,2022-03-01T00:00:00.000,765,0,0,0,0,1813.05,0,0,0,0,1813.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00902,PEASTER ISD,Educational Institution,Public,11,2,184-908,PARKER,3,0,2021-11-01T00:00:00.000,6379,0,15357,0,0,14288.96,0,60045.87,0,0,74334.83
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00436,TOM BEAN ISD,Educational Institution,Public,10,2,091-918,GRAYSON,3,3,2022-05-01T00:00:00.000,3697,0,8307,0,0,8761.89,0,34307.91,0,0,43069.8
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01021,GRAPEVINE-COLLEYVILLE ISD,Educational Institution,Public,11,2,220-906,TARRANT,16,16,2022-05-01T00:00:00.000,31584,0,98474,0,0,74854.08,0,406697.62,0,0,481551.7
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00950,HENDERSON ISD,Educational Institution,Public,7,2,201-902,RUSK,5,5,2022-05-01T00:00:00.000,35186,0,43954,0,0,83390.82,0,181530.02,0,0,264920.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00014,ZAVALLA ISD,Educational Institution,Public,7,3,003-906,ANGELINA,2,2,2021-11-01T00:00:00.000,1481,0,3237,0,0,3317.44,0,12656.67,0,0,15974.11
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00995,WHITEHOUSE ISD,Educational Institution,Public,7,2,212-906,SMITH,7,7,2022-01-01T00:00:00.000,19838,0,41230,0,0,47016.06,0,170279.9,0,0,217295.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00092,SOUTHSIDE ISD,Educational Institution,Public,20,4,015-917,BEXAR,8,8,2022-03-01T00:00:00.000,54437,0,69497,0,0,129015.69,0,287022.61,0,0,416038.3
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00780,HARMONY PUBLIC SCHOOLS,Educational Institution,Charter,12,2,161-807,MCLENNAN,16,16,2022-02-01T00:00:00.000,23176,0,63126,0,0,54927.12,0,260710.38,0,0,315637.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,13,13,2022-07-01T00:00:00.000,5414,0,5940,0,0,12831.18,0,24532.2,0,0,37363.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00389,MOUNT VERNON ISD,Educational Institution,Public,8,2,080-901,FRANKLIN,3,3,2022-03-01T00:00:00.000,8436,0,16030,0,0,19993.32,0,66203.9,0,0,86197.22
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00051,TROY ISD,Educational Institution,Public,12,2,014-910,BELL,4,4,2022-04-01T00:00:00.000,10297,0,24377,0,0,24403.89,0,100677.01,0,0,125080.9
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00864,"GULF COAST COUNCIL OF LARAZA, INC.",Educational Institution,Charter,2,5,178-801,NUECES,1,1,2021-10-01T00:00:00.000,2580,0,2618,0,0,5779.2,0,10236.38,0,0,16015.58
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01298,FORT BEND COUNTY,Government Agency,RCCI,4,3,079-,FORT BEND,1,1,2022-04-01T00:00:00.000,1289,0,1168,0,0,3054.93,0,4823.84,0,0,7878.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00351,CANUTILLO ISD,Educational Institution,Public,19,1,071-907,EL PASO,10,10,2021-10-01T00:00:00.000,57868,0,55033,0,0,129624.32,0,215179.03,0,0,344803.35
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01102,GRAND SALINE ISD,Educational Institution,Public,7,2,234-904,VAN ZANDT,4,4,2021-12-01T00:00:00.000,6041,0,10019,0,0,13531.84,0,39174.29,0,0,52706.13
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00418,NIXON-SMILEY CONS ISD,Educational Institution,Public,13,3,089-903,GONZALES,5,5,2021-11-01T00:00:00.000,16401,0,15563,0,0,36738.24,0,60851.33,0,0,97589.57
2021-2022,SUMMERSSOCEREIMBURSEMENTS,04943,"MONTESSORI FOR ALL, Inc.",Educational Institution,Charter,13,4,227-826,TRAVIS,1,1,2022-01-01T00:00:00.000,2790,0,4175,0,0,6612.3,0,17242.75,0,0,23855.05
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00707,PARIS ISD,Educational Institution,Public,8,2,139-909,LAMAR,3,3,2022-08-01T00:00:00.000,0,0,256,0,0,0,0,1057.28,0,0,1057.28
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00363,MARLIN ISD,Educational Institution,Public,12,2,073-903,FALLS,1,1,2022-07-01T00:00:00.000,10,0,0,0,0,23.7,0,0,0,0,23.7
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00096,CLIFTON ISD,Educational Institution,Public,12,2,018-901,BOSQUE,3,3,2022-01-01T00:00:00.000,5173,0,11767,0,0,12260.01,0,48597.71,0,0,60857.72
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01061,CEDARS INTERNATIONAL ACADEMY,Educational Institution,Charter,13,4,227-817,TRAVIS,2,2,2022-01-01T00:00:00.000,3301,0,5949,0,0,7823.37,0,24569.37,0,0,32392.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00265,GOLDEN RULE SCHOOLS INC.,Educational Institution,Charter,10,2,057-835,DALLAS,6,6,2022-03-01T00:00:00.000,9468,0,19042,0,0,22439.16,0,78643.46,0,0,101082.62
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00630,SANFORD-FRITCH ISD,Educational Institution,Public,16,1,117-903,HUTCHINSON,3,3,2022-05-01T00:00:00.000,4956,0,5515,0,0,11745.72,0,22776.95,0,0,34522.67
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00957,WEST RUSK ISD,Educational Institution,Public,7,2,201-914,RUSK,4,4,2022-04-01T00:00:00.000,12942,0,15120,0,0,30672.54,0,62445.6,0,0,93118.14
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00427,HOWE ISD,Educational Institution,Public,10,2,091-905,GRAYSON,4,4,2021-11-01T00:00:00.000,4968,0,13658,0,0,11128.32,0,53402.78,0,0,64531.1
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00102,KOPPERL ISD,Educational Institution,Public,12,2,018-907,BOSQUE,1,1,2022-03-01T00:00:00.000,1903,0,2621,0,0,4510.11,0,10824.73,0,0,15334.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,015-907,BEXAR,95,95,2022-04-01T00:00:00.000,428816,0,572148,0,0,1016293.92,0,2362971.24,0,0,3379265.16
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00781,CRAWFORD ISD,Educational Institution,Public,12,2,161-901,MCLENNAN,2,2,2022-03-01T00:00:00.000,2436,0,5238,0,0,5773.32,0,21632.94,0,0,27406.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00131,BROWNWOOD ISD,Educational Institution,Public,15,1,025-902,BROWN,3,3,2022-06-01T00:00:00.000,2119,0,3667,0,0,5022.03,0,15144.71,0,0,20166.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00203,PRINCETON ISD,Educational Institution,Public,10,2,043-911,COLLIN,11,10,2022-03-01T00:00:00.000,39999,0,83490,0,0,94797.63,0,344813.7,0,0,439611.33
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00406,TEXAS CITY ISD,Educational Institution,Public,4,3,084-906,GALVESTON,13,13,2022-05-01T00:00:00.000,48138,0,87980,0,0,114087.06,0,363357.4,0,0,477444.46
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01303,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,Government Agency,RCCI,20,4,007-,ATASCOSA,2,2,2021-11-01T00:00:00.000,204,0,205,0,0,456.96,0,801.55,0,0,1258.51
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01114,WALLER ISD,Educational Institution,Public,4,3,237-904,WALLER,8,8,2022-04-01T00:00:00.000,58716,0,110393,0,0,139156.92,0,455923.09,0,0,595080.01
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00323,EASTLAND ISD,Educational Institution,Public,14,1,067-903,EASTLAND,3,3,2021-10-01T00:00:00.000,5147,0,11948,0,0,11529.28,0,46716.68,0,0,58245.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00628,BOLES ISD,Educational Institution,Public,10,2,116-916,HUNT,3,3,2021-11-01T00:00:00.000,2129,0,4272,0,0,4768.96,0,16703.52,0,0,21472.48
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00328,ROCKSPRINGS ISD,Educational Institution,Public,15,4,069-901,EDWARDS,1,1,2022-02-01T00:00:00.000,2010,0,2429,0,0,4763.7,0,10031.77,0,0,14795.47
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00286,COPPELL ISD,Educational Institution,Public,10,2,057-922,DALLAS,11,11,2022-01-01T00:00:00.000,14436,0,56701,0,0,34213.32,0,234175.13,0,0,268388.45
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00534,MARSHALL ISD,Educational Institution,Public,7,2,102-902,HARRISON,8,8,2021-11-01T00:00:00.000,29760,0,60774,0,0,66662.4,0,237626.34,0,0,304288.74
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00175,EAST CHAMBERS ISD,Educational Institution,Public,5,3,036-903,CHAMBERS,4,4,2022-03-01T00:00:00.000,12288,0,16668,0,0,29122.56,0,68838.84,0,0,97961.4
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00774,EAGLE PASS ISD,Educational Institution,Public,20,4,159-901,MAVERICK,24,24,2022-02-01T00:00:00.000,191967,0,155557,0,0,454961.79,0,642450.41,0,0,1097412.2
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00819,COLORADO ISD,Educational Institution,Public,14,1,168-901,MITCHELL,3,3,2022-04-01T00:00:00.000,7528,0,8878,0,0,17841.36,0,36666.14,0,0,54507.5
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00181,CHILDRESS ISD,Educational Institution,Public,16,1,038-901,CHILDRESS,3,3,2022-05-01T00:00:00.000,6398,0,10512,0,0,15163.26,0,43414.56,0,0,58577.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01187,"THE HUGHEN CENTER, INC.",Educational Institution,Charter,5,3,123-807,JEFFERSON,4,4,2022-03-01T00:00:00.000,19445,0,31412,0,0,46084.65,0,129731.56,0,0,175816.21
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00124,TERLINGUA CSD,Educational Institution,Public,18,1,022-004,BREWSTER,1,1,2022-01-01T00:00:00.000,1208,0,0,0,0,2862.96,0,0,0,0,2862.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,Public,4,3,020-906,BRAZORIA,2,2,2022-07-01T00:00:00.000,177,0,1233,0,0,419.49,0,5092.29,0,0,5511.78
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00797,HALLSBURG ISD,Educational Institution,Public,12,2,161-924,MCLENNAN,1,1,2022-01-01T00:00:00.000,553,0,1617,0,0,1310.61,0,6678.21,0,0,7988.82
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00368,ECTOR ISD,Educational Institution,Public,10,2,074-905,FANNIN,2,2,2021-10-01T00:00:00.000,2082,0,2938,0,0,4663.68,0,11487.58,0,0,16151.26
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00007,SLOCUM ISD,Educational Institution,Public,7,2,001-909,ANDERSON,2,2,2022-01-01T00:00:00.000,2501,0,3827,0,0,5927.37,0,15805.51,0,0,21732.88
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00667,JOSHUA ISD,Educational Institution,Public,11,2,126-905,JOHNSON,10,10,2022-05-01T00:00:00.000,34349,0,77209,0,0,81407.13,0,318873.17,0,0,400280.3
2021-2022,SUMMERSSOCEREIMBURSEMENTS,06329,VALOR TEXAS EDUCATION FOUNDATION,Educational Institution,Charter,13,4,227-829,TRAVIS,2,2,2021-11-01T00:00:00.000,2809,0,8215,0,0,6292.16,0,32120.65,0,0,38412.81
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00861,SWEETWATER ISD,Educational Institution,Public,14,1,177-902,NOLAN,6,6,2021-11-01T00:00:00.000,20653,0,22961,0,0,46262.72,0,89777.51,0,0,136040.23
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00199,FRISCO ISD,Educational Institution,Public,10,2,043-905,COLLIN,71,71,2022-01-01T00:00:00.000,170193,0,610114,0,0,403357.41,0,2519770.82,0,0,2923128.23
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01386,SHORELINE INC,Private Non Profit Organization,RCCI,2,5,205-,SAN PATRICIO,1,1,2021-10-01T00:00:00.000,1187,0,1147,0,0,2658.88,0,4484.77,0,0,7143.65
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00156,RIO HONDO ISD,Educational Institution,Public,1,5,031-911,CAMERON,3,3,2022-05-01T00:00:00.000,20947,0,23328,0,0,49644.39,0,96344.64,0,0,145989.03
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00724,GIDDINGS ISD,Educational Institution,Public,13,4,144-901,LEE,4,4,2022-05-01T00:00:00.000,13631,0,24823,0,0,32305.47,0,102518.99,0,0,134824.46
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00360,LINGLEVILLE ISD,Educational Institution,Public,11,2,072-909,ERATH,1,1,2022-01-01T00:00:00.000,1319,0,3237,0,0,3126.03,0,13368.81,0,0,16494.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00526,LA PORTE ISD,Educational Institution,Public,4,3,101-916,HARRIS,5,5,2022-06-01T00:00:00.000,7834,0,11625,0,0,18566.58,0,48011.25,0,0,66577.83
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00004,NECHES ISD,Educational Institution,Public,7,2,001-906,ANDERSON,2,2,2022-02-01T00:00:00.000,2591,0,4333,0,0,6140.67,0,17895.29,0,0,24035.96
2021-2022,SUMMERSSOCEREIMBURSEMENTS,01116,MONAHANS-WICKETT-PYOTE ISD,Educational Institution,Public,18,1,238-902,WARD,6,6,2021-12-01T00:00:00.000,5279,0,13762,0,0,11824.96,0,53809.42,0,0,65634.38
2021-2022,SUMMERSSOCEREIMBURSEMENTS,04129,EXCELLENCE IN LEADERSHIP ACADEMY,Educational Institution,Charter,1,5,108-809,HIDALGO,1,1,2022-06-01T00:00:00.000,481,0,965,0,0,1139.97,0,3985.45,0,0,5125.42
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00141,MARBLE FALLS ISD,Educational Institution,Public,13,4,027-904,BURNET,7,7,2021-11-01T00:00:00.000,24870,0,47544,0,0,55708.8,0,185897.04,0,0,241605.84
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00179,NEW SUMMERFIELD ISD,Educational Institution,Public,7,2,037-908,CHEROKEE,1,1,2022-04-01T00:00:00.000,4311,0,8608,0,0,10217.07,0,35551.04,0,0,45768.11
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00993,TROUP ISD,Educational Institution,Public,7,2,212-904,SMITH,3,3,2022-02-01T00:00:00.000,9641,0,10927,0,0,22849.17,0,45128.51,0,0,67977.68
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00667,JOSHUA ISD,Educational Institution,Public,11,2,126-905,JOHNSON,10,10,2022-04-01T00:00:00.000,32860,0,75890,0,0,77878.2,0,313425.7,0,0,391303.9
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00722,SWEET HOME ISD,Educational Institution,Public,3,3,143-905,LAVACA,1,1,2021-12-01T00:00:00.000,279,0,820,0,0,624.96,0,3206.2,0,0,3831.16
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00446,NAVASOTA ISD,Educational Institution,Public,6,3,093-904,GRIMES,6,6,2022-04-01T00:00:00.000,23822,0,42551,0,0,56458.14,0,175735.63,0,0,232193.77
2021-2022,SUMMERSSOCEREIMBURSEMENTS,00548,WIMBERLEY ISD,Educational Institution,Public,13,4,105-905,HAYS,4,4,2021-11-01T00:00:00.000,7282,0,23574,0,0,16311.68,0,92174.34,0,0,108486.02
