programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,School Food Authority,10,2,057-913,DALLAS,1,1,0,2020-04-01T00:00:00.000,8189,0,8189,0,0,17688.2400,0.0000,30790.6400,0.0000,0.0000,4974.8200,53453.7000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,School Food Authority,10,2,057-913,DALLAS,1,1,0,2020-05-01T00:00:00.000,7225,0,7225,0,0,15606.0000,0.0000,27166.0000,0.0000,0.0000,4389.1900,47161.1900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,School Food Authority,10,2,057-913,DALLAS,1,1,0,2020-06-01T00:00:00.000,3771,0,3674,0,0,8145.3600,0.0000,13814.2400,0.0000,0.0000,2252.8200,24212.4200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,School Food Authority,10,2,057-913,DALLAS,1,1,0,2020-07-01T00:00:00.000,1670,0,1670,0,0,3607.2000,0.0000,6279.2000,0.0000,0.0000,1014.5300,10900.9300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00282,LANCASTER ISD,Educational Institution,School Food Authority,10,2,057-913,DALLAS,1,1,0,2020-08-01T00:00:00.000,1904,0,1904,0,0,4112.6400,0.0000,7159.0400,0.0000,0.0000,1156.6800,12428.3600
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,20,20,0,2020-05-01T00:00:00.000,97772,0,97772,0,0,211187.5200,0.0000,367622.7200,0.0000,0.0000,59396.4900,638206.7300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,21,21,0,2020-06-01T00:00:00.000,81763,0,81763,0,0,176608.0800,0.0000,307428.8800,0.0000,0.0000,49671.0300,533707.9900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,10,10,0,2020-07-01T00:00:00.000,77572,0,77572,0,0,167555.5200,0.0000,291670.7200,0.0000,0.0000,47124.9900,506351.2300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00283,MESQUITE ISD,Educational Institution,School Food Authority,10,2,057-914,DALLAS,10,10,0,2020-08-01T00:00:00.000,7738,0,7738,0,0,16714.0800,0.0000,29094.8800,0.0000,0.0000,4700.8400,50509.8000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,16,16,0,2020-03-01T00:00:00.000,28442,0,36209,0,0,61434.7200,0.0000,136145.8400,0.0000,0.0000,20327.0600,217907.6200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,20,20,0,2020-04-01T00:00:00.000,126422,0,126414,0,0,273071.5200,0.0000,475316.6400,0.0000,0.0000,76798.2300,825186.3900
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,19,19,0,2020-05-01T00:00:00.000,121310,0,121310,0,0,262029.6000,0.0000,456125.6000,0.0000,0.0000,73695.8300,791851.0300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,8,8,0,2020-06-01T00:00:00.000,50058,0,50058,0,0,108125.2800,0.0000,188218.0800,0.0000,0.0000,30410.2400,326753.6000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,8,8,0,2020-07-01T00:00:00.000,42961,0,43176,0,0,92795.7600,0.0000,162341.7600,0.0000,0.0000,26183.2000,281320.7200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,School Food Authority,11,2,061-901,DENTON,7,7,0,2020-08-01T00:00:00.000,22775,0,23495,0,0,49194.0000,0.0000,88341.2000,0.0000,0.0000,14118.4200,151653.6200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00297,LEWISVILLE ISD,Educational Institution,School Food Authority,11,2,061-902,DENTON,14,14,0,2020-04-01T00:00:00.000,37681,0,37449,0,0,81390.9600,0.0000,140808.2400,0.0000,0.0000,22800.1500,244999.3500
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00297,LEWISVILLE ISD,Educational Institution,School Food Authority,11,2,061-902,DENTON,14,14,0,2020-05-01T00:00:00.000,101926,0,100180,0,0,220160.1600,0.0000,376676.8000,0.0000,0.0000,61234.7400,658071.7000
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00297,LEWISVILLE ISD,Educational Institution,School Food Authority,11,2,061-902,DENTON,14,14,0,2020-06-01T00:00:00.000,56225,0,55515,0,0,121446.0000,0.0000,208736.4000,0.0000,0.0000,33878.0200,364060.4200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00297,LEWISVILLE ISD,Educational Institution,School Food Authority,11,2,061-902,DENTON,14,14,0,2020-07-01T00:00:00.000,46339,0,45823,0,0,100092.2400,0.0000,172294.4800,0.0000,0.0000,27948.4200,300335.1400
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00297,LEWISVILLE ISD,Educational Institution,School Food Authority,11,2,061-902,DENTON,14,14,0,2020-08-01T00:00:00.000,22996,0,22789,0,0,49671.3600,0.0000,85686.6400,0.0000,0.0000,13888.8200,149246.8200
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,2,2,0,2020-03-01T00:00:00.000,774,0,910,0,0,1671.8400,0.0000,3421.6000,0.0000,0.0000,523.5900,5617.0300
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,2,2,0,2020-04-01T00:00:00.000,2195,0,2195,0,0,4741.2000,0.0000,8253.2000,0.0000,0.0000,1333.4700,14327.8700
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,2,2,0,2020-05-01T00:00:00.000,1222,0,1222,0,0,2639.5200,0.0000,4594.7200,0.0000,0.0000,742.3700,7976.6100
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,2,2,0,2020-06-01T00:00:00.000,1187,0,1187,0,0,2563.9200,0.0000,4463.1200,0.0000,0.0000,721.1100,7748.1500
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00298,PILOT POINT ISD,Educational Institution,School Food Authority,11,2,061-903,DENTON,6,2,4,2020-09-01T00:00:00.000,470,0,996,0,0,1015.2000,0.0000,3744.9600,0.0000,0.0000,491.9800,5252.1400
2019-2020,SUMMERSFSPCEREIMBURSEMENTS,00307,CUERO ISD,Educational Institution,School Food Authority,3,3,062-901,DEWITT,7,7,0,2020-03-01T00:00:00.000,4443,0,6595,0,0,9596.8800,0.0000,24797.2000,0.0000,0.0000,3543.7900,37937.8700
