odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
03689_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03689,"S. Tracy Howard Project, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,DENTON,14,0,14,2024-05-01T00:00:00.000,2933,0,3213,0,0,7948.43,0.0,15165.36,0.0,0.0,2366.98,25480.77
03689_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03689,"S. Tracy Howard Project, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,DENTON,29,0,29,2024-06-01T00:00:00.000,24927,0,28872,388,0,67552.17,0.0,136275.84,426.8,0.0,20939.81,225194.62
03689_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03689,"S. Tracy Howard Project, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,DENTON,29,0,29,2024-07-01T00:00:00.000,24182,0,29481,266,0,65533.22,0.0,139150.32,292.6,0.0,21023.99,226000.13
03689_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03689,"S. Tracy Howard Project, Inc.",Private Non Profit Organization,Private Nonprofit,11,2,,DENTON,23,0,23,2024-08-01T00:00:00.000,4630,0,5392,80,0,12547.3,0.0,25450.24,88.0,0.0,3904.89,41990.43
03949_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,,JEFFERSON,1,0,1,2024-05-01T00:00:00.000,51,0,83,0,0,138.21,0.0,391.76,0.0,0.0,54.52,584.49
03949_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,,JEFFERSON,50,0,50,2024-06-01T00:00:00.000,15016,0,16610,0,0,40693.36,0.0,78399.2,0.0,0.0,12197.21,131289.77
03949_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,,JEFFERSON,46,0,46,2024-07-01T00:00:00.000,14962,0,16616,0,0,40547.02,0.0,78427.52,0.0,0.0,12185.72,131160.26
03949_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,,JEFFERSON,26,0,26,2024-08-01T00:00:00.000,3436,0,3644,0,0,9311.56,0.0,17199.68,0.0,0.0,2713.8,29225.04
03974_5_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self-Development),Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,1,0,1,2024-05-01T00:00:00.000,174,0,174,174,0,471.54,0.0,821.28,191.4,0.0,155.74,1639.96
03974_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self-Development),Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,2,0,2,2024-06-01T00:00:00.000,1575,0,1575,877,0,4268.25,0.0,7434.0,964.7,0.0,1315.4,13982.35
03974_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self-Development),Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,1,0,1,2024-07-01T00:00:00.000,812,0,812,0,0,2200.52,0.0,3832.64,0.0,0.0,617.12,6650.28
03974_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,03974,P.L.A.Y.S. (Positive Leadership Advances Youth Self-Development),Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,1,0,1,2024-08-01T00:00:00.000,197,0,197,0,0,533.87,0.0,929.84,0.0,0.0,149.72,1613.43
04007_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04007,SOUTH TEXAS FOOD BANK INC.,Private Non Profit Organization,Private Nonprofit,1,5,240-,WEBB,15,0,15,2024-06-01T00:00:00.000,1152,0,8595,8352,0,3121.92,0.0,40568.4,9187.2,0.0,5668.72,58546.24
04007_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04007,SOUTH TEXAS FOOD BANK INC.,Private Non Profit Organization,Private Nonprofit,1,5,240-,WEBB,16,0,16,2024-07-01T00:00:00.000,473,0,8112,8760,0,1281.83,0.0,38288.64,9636.0,0.0,5304.29,54510.76
04007_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04007,SOUTH TEXAS FOOD BANK INC.,Private Non Profit Organization,Private Nonprofit,1,5,240-,WEBB,12,0,12,2024-08-01T00:00:00.000,0,0,3328,3293,0,0.0,0.0,15708.16,3622.3,0.0,2083.6,21414.06
04080_6_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,8,0,8,2024-06-01T00:00:00.000,4030,0,4334,225,0,10921.3,0.0,20456.48,247.5,0.0,3242.91,34868.19
04080_7_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,6,0,6,2024-07-01T00:00:00.000,3594,0,4106,477,0,9739.74,0.0,19380.32,524.7,0.0,3048.01,32692.77
04080_8_2024_SUMMERSFSPCEREIMBURSEMENTS,2023-2024,SUMMERSFSPCEREIMBURSEMENTS,04080,"Village Hands and Hearts, Inc.",Private Non Profit Organization,Private Nonprofit,10,2,,DALLAS,3,0,3,2024-08-01T00:00:00.000,636,0,851,210,0,1723.56,0.0,4016.72,231.0,0.0,617.6,6588.88
