odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,adminreimbursement,totalreimbursement
06082_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06082,"STEPS TO EXCELLENCE, INC.",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,7,0,7,2025-06-01T00:00:00.000,2945,0,6829,1986,0,8275.45,0.0,33393.81,2264.04,0.0,4595.14,48528.44
06082_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06082,"STEPS TO EXCELLENCE, INC.",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,5,0,5,2025-07-01T00:00:00.000,3780,0,8717,78,0,10621.8,0.0,42626.13,88.92,0.0,5527.33,58864.18
06083_5_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06083,"""With Helping Hands"" serving nutritious meals",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,7,0,7,2025-05-01T00:00:00.000,0,0,210,0,62,0.0,0.0,1026.9,0.0,303.18,139.41,1469.49
06083_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06083,"""With Helping Hands"" serving nutritious meals",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,78,0,78,2025-06-01T00:00:00.000,2747,0,48011,0,6768,7719.07,0.0,234773.79,0.0,33095.52,28836.53,304424.91
06083_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06083,"""With Helping Hands"" serving nutritious meals",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,82,0,82,2025-07-01T00:00:00.000,18724,0,66089,0,8323,52614.44,0.0,323175.21,0.0,40699.47,43332.06,459821.18
06083_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06083,"""With Helping Hands"" serving nutritious meals",Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,77,0,77,2025-08-01T00:00:00.000,5060,0,18002,0,2663,14218.6,0.0,88029.78,0.0,13022.07,11994.97,127265.42
06308_6_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06308,OIMZION International Global Ministries and Missions,Private Non Profit Organization,Private Nonprofit,17,1,,HALE,3,0,3,2025-06-01T00:00:00.000,0,0,130,0,240,0.0,0.0,635.7,0.0,1173.6,189.63,1998.93
06308_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06308,OIMZION International Global Ministries and Missions,Private Non Profit Organization,Private Nonprofit,17,1,,HALE,3,0,3,2025-07-01T00:00:00.000,0,0,172,0,333,0.0,0.0,841.08,0.0,1628.37,258.81,2728.26
06308_8_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06308,OIMZION International Global Ministries and Missions,Private Non Profit Organization,Private Nonprofit,17,1,,HALE,3,0,3,2025-08-01T00:00:00.000,0,0,86,0,130,0.0,0.0,420.54,0.0,635.7,110.71,1166.95
06377_7_2025_SUMMERSFSPCEREIMBURSEMENTS,2024-2025,SUMMERSFSPCEREIMBURSEMENTS,06377,Britestar Community Center Inc,Private Non Profit Organization,Private Nonprofit,4,3,,HARRIS,22,0,22,2025-07-01T00:00:00.000,0,0,1905,0,0,0.0,0.0,9315.45,0.0,0.0,976.31,10291.76
