dataset_id,title,row_count,distinct_programyear_values,reporttype_values,program_values,has_mealservicetype,has_ruralorurbancode,has_sitetype,mealservicetype_value_counts,earliest_operation_start_date,latest_operation_end_date,already_known
24ie-9cft,Summer Meal Programs - All Summer Sites - Contact and Program Participation Information - Program Period 2023,5278,2022-2023,AllSummerSitesContacts,"SFSP, SSO",True,False,True,Congregate=5232 | Non-Congregate - Grab-and-go at central site=39 | Non-Congregate - Mobile route – Meals are picked up by children/parents directly from the vehicle.=5 | Non-Congregate - Home delivery=2,2022-07-01T00:00:00.000,2023-08-30T00:00:00.000,True
82b8-iuvu,Summer Meal Programs - Seamless Summer Option (SSO) - Contacts and Program Participation - Program Period 2023,2974,2022-2023,SSOCONTACTS,,True,False,True,Congregate=2947 | Non-Congregate - Grab-and-go at central site=23 | Non-Congregate - Home delivery=2 | Non-Congregate - Mobile route – Meals are picked up by children/parents directly from the vehicle.=2,,,True
8ih4-zp65,Summer Meal Programs - Summer Food Service Program (SFSP) - Contacts and Program Participation - Program Period 2023,2304,2022-2023,SFSPCONTACTS,,True,True,True,Congregate=2285 | Non-Congregate - Grab-and-go at central site=16 | Non-Congregate - Mobile route – Meals are picked up by children/parents directly from the vehicle.=3,,,True
