programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfasttotal,breakfastadp,amsnackdays,amsnacktotal,amsnackadp,lunchdays,lunchtotal,lunchadp,pmsnackdays,pmsnacktotal,pmsnackadp,supperdays,suppertotal,supperadp
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0135,HIGHLAND PARK EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,68,34,0,0,0,2,106,53,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0136,HILLCREST EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,15,733,48.87,0,0,0,15,969,64.6,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0136,HILLCREST EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,18,775,43.06,0,0,0,18,1205,66.94,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0136,HILLCREST EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,115,57.5,0,0,0,2,140,70,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0140,RODRIGUEZ EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,20,818,40.9,0,0,0,20,916,45.8,0,0,0,20,562,28.1
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0140,RODRIGUEZ EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,10,303,30.3,0,0,0,10,366,36.6,0,0,0,10,284,28.4
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0141,ELOISE JAPHET EL,015-907,BEXAR,BEXAR,2019-05-01T00:00:00.000,0,0,0,0,0,0,1,10,10,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0141,ELOISE JAPHET EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,8,452,56.5,0,0,0,8,452,56.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0141,ELOISE JAPHET EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,108,54,0,0,0,2,108,54,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0142,M L KING ACADEMY,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,15,434,28.93,0,0,0,15,599,39.93,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0142,M L KING ACADEMY,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,18,517,28.72,0,0,0,18,774,43,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0142,M L KING ACADEMY,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,30,15,0,0,0,2,52,26,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0143,GEORGE E KELLY EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,15,117,7.8,0,0,0,15,225,15,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0143,GEORGE E KELLY EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,18,524,29.11,0,0,0,18,681,37.83,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0143,GEORGE E KELLY EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,97,48.5,0,0,0,2,116,58,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0144,SARAH S KING EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,12,521,43.42,0,0,0,12,933,77.75,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0146,LAMAR EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,10,305,30.5,0,0,0,10,354,35.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0146,LAMAR EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,5,129,25.8,0,0,0,5,162,32.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0148,MADISON EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,15,851,56.73,0,0,0,15,1056,70.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0148,MADISON EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,18,1048,58.22,0,0,0,18,1418,78.78,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0148,MADISON EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,89,44.5,0,0,0,1,100,100,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0149,MARGIL EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,18,1440,80,0,0,0,18,1641,91.17,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0149,MARGIL EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,8,213,26.63,0,0,0,8,219,27.38,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0149,MARGIL EL,015-907,BEXAR,BEXAR,2019-08-01T00:00:00.000,2,54,27,0,0,0,2,54,27,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0150,MAVERICK EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,18,2128,118.22,0,0,0,18,2090,116.11,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0153,DORIE MILLER EL,015-907,BEXAR,BEXAR,2019-06-01T00:00:00.000,16,608,38,0,0,0,16,708,44.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0153,DORIE MILLER EL,015-907,BEXAR,BEXAR,2019-07-01T00:00:00.000,16,497,31.06,0,0,0,16,598,37.38,0,0,0,0,0,0
