programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfasttotal,breakfastadp,amsnackdays,amsnacktotal,amsnackadp,lunchdays,lunchtotal,lunchadp,pmsnackdays,pmsnacktotal,pmsnackadp,supperdays,suppertotal,supperadp
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0085,KATHLYN JOY GILLIAM COLLEGIATE ACAD,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,3,48,16,0,0,0,3,68,22.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0085,KATHLYN JOY GILLIAM COLLEGIATE ACAD,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,2,44,22,0,0,0,2,88,44,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0088,TRINITY GARZA EARLY COLLEGE H S,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,409,25.56,0,0,0,15,846,56.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0088,TRINITY GARZA EARLY COLLEGE H S,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,65,4.33,0,0,0,15,284,18.93,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0088,TRINITY GARZA EARLY COLLEGE H S,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,8,72,9,0,0,0,8,201,25.13,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,3,28,9.33,0,0,0,3,104,34.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,2,22,11,0,0,0,2,23,11.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0100,"ZAN WESLEY HOLMES, JR MIDDLE SCHOOL",057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,55,4.58,0,0,0,7,365,52.14,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0100,"ZAN WESLEY HOLMES, JR MIDDLE SCHOOL",057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,79,5.27,0,0,0,12,82,6.83,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0100,"ZAN WESLEY HOLMES, JR MIDDLE SCHOOL",057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0101,J Q ADAMS EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,474,39.5,0,0,0,8,487,60.88,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0101,J Q ADAMS EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,484,32.27,0,0,0,15,436,29.07,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0101,J Q ADAMS EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0103,GABE P ALLEN CHARTER SCHOOL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,181,16.45,0,0,0,7,199,28.43,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0104,WILLIAM M ANDERSON EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,565,35.31,0,0,0,12,729,60.75,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0104,WILLIAM M ANDERSON EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,330,22,0,0,0,15,564,37.6,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0104,WILLIAM M ANDERSON EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,17,17,0,0,0,1,34,34,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0105,ARCADIA PARK EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,224,20.36,0,0,0,7,238,34,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0105,ARCADIA PARK EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0107,"JOSE ""JOE"" MAY ELEMENTARY SCHOOL",057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,17,557,32.76,0,0,0,13,884,68,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0107,"JOSE ""JOE"" MAY ELEMENTARY SCHOOL",057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0108,BAYLES EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,259,21.58,0,0,0,8,364,45.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0108,BAYLES EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,186,12.4,0,0,0,15,202,13.47,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0108,BAYLES EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,7,7,0,0,0,1,10,10,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0109,W A BLAIR EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,253,23,0,0,0,7,427,61,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0109,W A BLAIR EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,12,413,34.42,0,0,0,15,530,35.33,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0109,W A BLAIR EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,19,19,0,0,0,1,30,30,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0110,ANNIE WEBB BLANTON EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,52,4.73,0,0,0,9,81,9,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0110,ANNIE WEBB BLANTON EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0112,JAMES BOWIE EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,414,34.5,0,0,0,8,418,52.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0112,JAMES BOWIE EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,512,34.13,0,0,0,15,538,35.87,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0112,JAMES BOWIE EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,32,32,0,0,0,1,35,35,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0114,JOHN NEELY BRYAN EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,794,49.63,0,0,0,12,858,71.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0114,JOHN NEELY BRYAN EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,572,38.13,0,0,0,15,786,52.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0114,JOHN NEELY BRYAN EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,34,34,0,0,0,1,37,37,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0115,HARRELL BUDD EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,15,462,30.8,0,0,0,11,462,42,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0115,HARRELL BUDD EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0116,DAVID G BURNET EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,244,22.18,0,0,0,7,426,60.86,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0117,RUFUS C BURLESON EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,870,54.38,0,0,0,14,1107,79.07,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0117,RUFUS C BURLESON EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,12,701,58.42,0,0,0,12,714,59.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0117,RUFUS C BURLESON EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0118,W W BUSHMAN EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,647,53.92,0,0,0,8,647,80.88,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0118,W W BUSHMAN EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,662,44.13,0,0,0,15,884,58.93,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0118,W W BUSHMAN EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,52,52,0,0,0,1,64,64,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0119,Chapel Hill Preparatory,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,264,24,0,0,0,7,296,42.29,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0119,Chapel Hill Preparatory,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0120,F P CAILLET EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,17,463,27.24,0,0,0,12,585,48.75,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0120,F P CAILLET EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0121,JOHN W CARPENTER EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,327,29.73,0,0,0,7,417,59.57,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0121,JOHN W CARPENTER EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0122,C F CARR EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,246,22.36,0,0,0,7,280,40,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0122,C F CARR EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0125,CASA VIEW EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,267,24.27,0,0,0,7,283,40.43,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0125,CASA VIEW EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,12,655,54.58,0,0,0,12,687,57.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0125,CASA VIEW EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0126,CENTRAL EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,208,18.91,0,0,0,6,214,35.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0126,CENTRAL EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0128,MARTIN LUTHER KING ELEM,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,45,4.09,0,0,0,7,47,6.71,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0129,S S CONNER EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,246,22.36,0,0,0,7,317,45.29,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0129,S S CONNER EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0130,LEILA P COWART EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,387,32.25,0,0,0,8,441,55.13,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0130,LEILA P COWART EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,342,22.8,0,0,0,15,504,33.6,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0130,LEILA P COWART EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,22,22,0,0,0,1,35,35,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0131,IGNACIO ZARAGOSA EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,67,6.09,0,0,0,7,101,14.43,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0131,IGNACIO ZARAGOSA EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0133,BARBARA JORDAN EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,528,33,0,0,0,12,581,48.42,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0133,BARBARA JORDAN EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0135,EVERETT L DEGOLYER EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,125,11.36,0,0,0,7,152,21.71,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0136,L O DONALD EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,214,19.45,0,0,0,5,234,46.8,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0136,L O DONALD EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0137,JULIUS DORSEY EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,99,9,0,0,0,7,84,12,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0137,JULIUS DORSEY EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0139,PAUL L DUNBAR LEARNING CENTER,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,391,32.58,0,0,0,8,433,54.13,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0139,PAUL L DUNBAR LEARNING CENTER,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,903,60.2,0,0,0,15,903,60.2,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0139,PAUL L DUNBAR LEARNING CENTER,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,43,43,0,0,0,1,47,47,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0141,JILL STONE ELEMENTARY SCHOOL AT VICKERY MEADOWS,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,120,10.91,0,0,0,7,133,19,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0141,JILL STONE ELEMENTARY SCHOOL AT VICKERY MEADOWS,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0142,J N ERVIN EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,815,67.92,0,0,0,8,1407,175.88,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0142,J N ERVIN EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,4,321,80.25,0,0,0,4,401,100.25,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0142,J N ERVIN EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0144,TOM W FIELD EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,58,5.27,0,0,0,7,59,8.43,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0145,STEPHEN C FOSTER EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,602,50.17,0,0,0,8,808,101,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0145,STEPHEN C FOSTER EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,547,36.47,0,0,0,15,723,48.2,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0145,STEPHEN C FOSTER EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,29,29,0,0,0,1,36,36,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0147,CHARLES A GILL EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,192,16,0,0,0,7,230,32.86,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0147,CHARLES A GILL EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0148,TOM C GOOCH EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,16,468,29.25,0,0,0,12,540,45,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0148,TOM C GOOCH EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0149,LENORE KIRK HALL EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,675,56.25,0,0,0,8,524,65.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0149,LENORE KIRK HALL EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,677,45.13,0,0,0,15,636,42.4,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0149,LENORE KIRK HALL EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,31,31,0,0,0,1,31,31,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0152,MARGARET B HENDERSON EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,48,4.36,0,0,0,7,49,7,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0152,MARGARET B HENDERSON EL,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,15,390,26,0,0,0,15,490,32.67,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0152,MARGARET B HENDERSON EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,1,16,16,0,0,0,1,19,19,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0153,VICTOR H HEXTER EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,21,1.91,0,0,0,5,43,8.6,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0153,VICTOR H HEXTER EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0154,LARRY SMITH ELEMENTARY,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,12,453,37.75,0,0,0,8,825,103.13,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0154,LARRY SMITH ELEMENTARY,057-905,DALLAS,DALLAS,2019-07-01T00:00:00.000,8,241,30.13,0,0,0,8,492,61.5,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0154,LARRY SMITH ELEMENTARY,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0155,C A TATUM JR EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,236,21.45,0,0,0,8,318,39.75,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0155,C A TATUM JR EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0156,NATHANIEL HAWTHORNE EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,322,29.27,0,0,0,9,459,51,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0156,NATHANIEL HAWTHORNE EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0157,JAMES S HOGG EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,174,15.82,0,0,0,7,205,29.29,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0157,JAMES S HOGG EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0158,LIDA HOOE EL,057-905,DALLAS,DALLAS,2019-06-01T00:00:00.000,11,163,14.82,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,SUMMERSSOCLAIMS,00276,DALLAS ISD,Educational Institution,Public,10,2,0158,LIDA HOOE EL,057-905,DALLAS,DALLAS,2019-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
