programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00148,BAIRD ISD,Educational Institution,Public,14,1,030-903,CALLAHAN,1,2019-05-01T00:00:00.000,5,0,6,0,0,10.7000,0,20.3400,0,0,31.0400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00148,BAIRD ISD,Educational Institution,Public,14,1,030-903,CALLAHAN,1,2019-06-01T00:00:00.000,286,0,300,0,0,612.0400,0,1017.0000,0,0,1629.0400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00148,BAIRD ISD,Educational Institution,Public,14,1,030-903,CALLAHAN,1,2019-07-01T00:00:00.000,4,0,4,0,0,8.8000,0,14.0000,0,0,22.8000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,031-901,CAMERON,51,2019-06-01T00:00:00.000,66934,0,96760,0,0,139943.5100,0,328016.4000,0,0,467959.9100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,031-901,CAMERON,35,2019-07-01T00:00:00.000,16586,0,25617,0,0,32897.8400,0,89659.5000,0,0,122557.3400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00151,BROWNSVILLE ISD,Educational Institution,Public,1,5,031-901,CAMERON,22,2019-08-01T00:00:00.000,1574,0,2986,0,0,3292.8800,0,10451.0000,0,0,13743.8800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,031-903,CAMERON,18,2019-05-01T00:00:00.000,1498,0,2391,0,0,3138.8700,0,8105.4900,0,0,11244.3600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,031-903,CAMERON,31,2019-06-01T00:00:00.000,17580,0,28490,0,0,37621.2000,0,96581.1000,0,0,134202.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,031-903,CAMERON,35,2019-07-01T00:00:00.000,13118,0,20295,0,0,28859.6000,0,71032.5000,0,0,99892.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00152,HARLINGEN CONS ISD,Educational Institution,Public,1,5,031-903,CAMERON,22,2019-08-01T00:00:00.000,1921,0,2374,0,0,4226.2000,0,8309.0000,0,0,12535.2000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00153,LA FERIA ISD,Educational Institution,Public,1,5,031-905,CAMERON,3,2019-05-01T00:00:00.000,708,0,1227,0,0,1515.1200,0,4159.5300,0,0,5674.6500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00153,LA FERIA ISD,Educational Institution,Public,1,5,031-905,CAMERON,5,2019-06-01T00:00:00.000,2579,0,3694,0,0,5519.0600,0,12522.6600,0,0,18041.7200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00154,LOS FRESNOS CONS ISD,Educational Institution,Public,1,5,031-906,CAMERON,3,2019-05-01T00:00:00.000,823,0,1852,0,0,1761.2200,0,6278.2800,0,0,8039.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00154,LOS FRESNOS CONS ISD,Educational Institution,Public,1,5,031-906,CAMERON,3,2019-06-01T00:00:00.000,7762,0,14198,0,0,16610.6800,0,48131.2200,0,0,64741.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00154,LOS FRESNOS CONS ISD,Educational Institution,Public,1,5,031-906,CAMERON,1,2019-07-01T00:00:00.000,1379,0,3437,0,0,3033.8000,0,12029.5000,0,0,15063.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00156,RIO HONDO ISD,Educational Institution,Public,1,5,031-911,CAMERON,4,2019-06-01T00:00:00.000,2120,0,2609,0,0,4377.9000,0,8844.5100,0,0,13222.4100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,031-912,CAMERON,9,2019-06-01T00:00:00.000,12635,0,19968,0,0,26532.8000,0,67691.5200,0,0,94224.3200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,031-912,CAMERON,9,2019-07-01T00:00:00.000,4183,0,7625,0,0,8521.1200,0,26687.5000,0,0,35208.6200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00157,SAN BENITO CONS ISD,Educational Institution,Public,1,5,031-912,CAMERON,2,2019-08-01T00:00:00.000,208,0,502,0,0,424.8400,0,1757.0000,0,0,2181.8400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00159,SANTA ROSA ISD,Educational Institution,Public,1,5,031-914,CAMERON,2,2019-05-01T00:00:00.000,2331,0,3209,0,0,4988.3400,0,10878.5100,0,0,15866.8500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00159,SANTA ROSA ISD,Educational Institution,Public,1,5,031-914,CAMERON,1,2019-06-01T00:00:00.000,1275,0,1922,0,0,2728.5000,0,6515.5800,0,0,9244.0800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00161,PITTSBURG ISD,Educational Institution,Public,8,2,032-902,CAMP,1,2019-06-01T00:00:00.000,801,0,937,0,0,1714.1400,0,3176.4300,0,0,4890.5700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00165,ATLANTA ISD,Educational Institution,Public,8,2,034-901,CASS,4,2019-06-01T00:00:00.000,3604,0,4178,0,0,7712.5600,0,14163.4200,0,0,21875.9800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00165,ATLANTA ISD,Educational Institution,Public,8,2,034-901,CASS,4,2019-07-01T00:00:00.000,1102,0,1281,0,0,2424.4000,0,4483.5000,0,0,6907.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00167,HUGHES SPRINGS ISD,Educational Institution,Public,8,2,034-903,CASS,1,2019-06-01T00:00:00.000,164,0,519,0,0,350.9600,0,1759.4100,0,0,2110.3700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00170,DIMMITT ISD,Educational Institution,Public,16,1,035-901,CASTRO,1,2019-05-01T00:00:00.000,111,0,197,0,0,237.5400,0,667.8300,0,0,905.3700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00170,DIMMITT ISD,Educational Institution,Public,16,1,035-901,CASTRO,1,2019-06-01T00:00:00.000,770,0,1201,0,0,1647.8000,0,4071.3900,0,0,5719.1900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00173,ANAHUAC ISD,Educational Institution,Public,4,3,036-901,CHAMBERS,1,2019-06-01T00:00:00.000,709,0,1481,0,0,1517.2600,0,5020.5900,0,0,6537.8500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00173,ANAHUAC ISD,Educational Institution,Public,4,3,036-901,CHAMBERS,1,2019-07-01T00:00:00.000,93,0,180,0,0,204.6000,0,630.0000,0,0,834.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00175,EAST CHAMBERS ISD,Educational Institution,Public,5,3,036-903,CHAMBERS,2,2019-06-01T00:00:00.000,1418,0,1846,0,0,3034.5200,0,6257.9400,0,0,9292.4600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00175,EAST CHAMBERS ISD,Educational Institution,Public,5,3,036-903,CHAMBERS,2,2019-07-01T00:00:00.000,469,0,815,0,0,1031.8000,0,2852.5000,0,0,3884.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00175,EAST CHAMBERS ISD,Educational Institution,Public,5,3,036-903,CHAMBERS,2,2019-08-01T00:00:00.000,414,0,835,0,0,910.8000,0,2922.5000,0,0,3833.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00176,ALTO ISD,Educational Institution,Public,7,2,037-901,CHEROKEE,1,2019-06-01T00:00:00.000,1304,0,1326,0,0,2790.5600,0,4495.1400,0,0,7285.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00177,JACKSONVILLE ISD,Educational Institution,Public,7,2,037-904,CHEROKEE,2,2019-06-01T00:00:00.000,1133,0,2380,0,0,2424.6200,0,8068.2000,0,0,10492.8200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00177,JACKSONVILLE ISD,Educational Institution,Public,7,2,037-904,CHEROKEE,1,2019-07-01T00:00:00.000,48,0,304,0,0,105.6000,0,1064.0000,0,0,1169.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00178,RUSK ISD,Educational Institution,Public,7,2,037-907,CHEROKEE,1,2019-06-01T00:00:00.000,0,0,941,0,0,0,0,3189.9900,0,0,3189.9900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00179,NEW SUMMERFIELD ISD,Educational Institution,Public,7,2,037-908,CHEROKEE,1,2019-05-01T00:00:00.000,212,0,365,0,0,453.6800,0,1237.3500,0,0,1691.0300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00179,NEW SUMMERFIELD ISD,Educational Institution,Public,7,2,037-908,CHEROKEE,1,2019-06-01T00:00:00.000,891,0,1332,0,0,1906.7400,0,4515.4800,0,0,6422.2200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00192,SANTA ANNA ISD,Educational Institution,Public,15,1,042-903,COLEMAN,1,2019-06-01T00:00:00.000,623,0,821,0,0,1333.2200,0,2783.1900,0,0,4116.4100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00193,PANTHER CREEK CONS ISD,Educational Institution,Public,15,1,042-905,COLEMAN,1,2019-06-01T00:00:00.000,0,128,137,0,0,0,116.4800,464.4300,0,0,580.9100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00198,FARMERSVILLE ISD,Educational Institution,Public,10,2,043-904,COLLIN,1,2019-06-01T00:00:00.000,0,0,1322,0,0,0,0,4481.5800,0,0,4481.5800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00200,MCKINNEY ISD,Educational Institution,Public,10,2,043-907,COLLIN,5,2019-06-01T00:00:00.000,7438,0,8972,0,0,15917.3200,0,30235.6400,0,0,46152.9600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00200,MCKINNEY ISD,Educational Institution,Public,10,2,043-907,COLLIN,2,2019-07-01T00:00:00.000,1654,0,4457,0,0,3638.8000,0,15510.3600,0,0,19149.1600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00200,MCKINNEY ISD,Educational Institution,Public,10,2,043-907,COLLIN,1,2019-08-01T00:00:00.000,402,0,671,0,0,884.4000,0,2335.0800,0,0,3219.4800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00203,PRINCETON ISD,Educational Institution,Public,10,2,043-911,COLLIN,1,2019-06-01T00:00:00.000,2135,0,5201,0,0,4568.9000,0,17631.3900,0,0,22200.2900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00206,BLUE RIDGE ISD,Educational Institution,Public,10,2,043-917,COLLIN,1,2019-06-01T00:00:00.000,640,0,745,0,0,1369.6000,0,2525.5500,0,0,3895.1500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00207,COMMUNITY ISD,Educational Institution,Public,10,2,043-918,COLLIN,3,2019-06-01T00:00:00.000,2720,0,2845,0,0,5794.2000,0,9644.5500,0,0,15438.7500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00211,COLUMBUS ISD,Educational Institution,Public,3,3,045-902,COLORADO,2,2019-06-01T00:00:00.000,607,0,2128,0,0,1298.9800,0,7213.9200,0,0,8512.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00211,COLUMBUS ISD,Educational Institution,Public,3,3,045-902,COLORADO,2,2019-07-01T00:00:00.000,127,0,838,0,0,279.4000,0,2933.0000,0,0,3212.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00213,WEIMAR ISD,Educational Institution,Public,3,3,045-905,COLORADO,1,2019-06-01T00:00:00.000,0,0,559,0,0,0,0,1895.0100,0,0,1895.0100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00213,WEIMAR ISD,Educational Institution,Public,3,3,045-905,COLORADO,2,2019-07-01T00:00:00.000,0,0,689,0,0,0,0,2411.5000,0,0,2411.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00213,WEIMAR ISD,Educational Institution,Public,3,3,045-905,COLORADO,1,2019-08-01T00:00:00.000,0,0,47,0,0,0,0,164.5000,0,0,164.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00214,NEW BRAUNFELS ISD,Educational Institution,Public,13,4,046-901,COMAL,5,2019-06-01T00:00:00.000,1168,0,1844,0,0,2499.5200,0,6251.1600,0,0,8750.6800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00215,COMAL ISD,Educational Institution,Public,20,4,046-902,COMAL,2,2019-06-01T00:00:00.000,1055,0,1660,0,0,2257.7000,0,5594.2000,0,0,7851.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00215,COMAL ISD,Educational Institution,Public,20,4,046-902,COMAL,1,2019-07-01T00:00:00.000,171,0,167,0,0,376.2000,0,581.1600,0,0,957.3600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00216,COMANCHE ISD,Educational Institution,Public,14,1,047-901,COMANCHE,1,2019-06-01T00:00:00.000,941,0,1353,0,0,2013.7400,0,4586.6700,0,0,6600.4100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,Public,11,2,049-903,COOKE,1,2019-06-01T00:00:00.000,1243,0,892,0,0,2660.0200,0,3023.8800,0,0,5683.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,Public,11,2,049-903,COOKE,1,2019-07-01T00:00:00.000,734,0,609,0,0,1614.8000,0,2131.5000,0,0,3746.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00224,VALLEY VIEW ISD-VALLEY VIEW,Educational Institution,Public,11,2,049-903,COOKE,1,2019-08-01T00:00:00.000,33,0,52,0,0,72.6000,0,182.0000,0,0,254.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00231,GATESVILLE ISD,Educational Institution,Public,12,2,050-902,CORYELL,4,2019-05-01T00:00:00.000,249,0,625,0,0,522.3600,0,2118.7500,0,0,2641.1100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00231,GATESVILLE ISD,Educational Institution,Public,12,2,050-902,CORYELL,5,2019-06-01T00:00:00.000,3490,0,5618,0,0,7358.3500,0,19045.0200,0,0,26403.3700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00231,GATESVILLE ISD,Educational Institution,Public,12,2,050-902,CORYELL,5,2019-07-01T00:00:00.000,2152,0,4481,0,0,4521.2800,0,15683.5000,0,0,20204.7800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00231,GATESVILLE ISD,Educational Institution,Public,12,2,050-902,CORYELL,5,2019-08-01T00:00:00.000,955,0,1610,0,0,2017.1200,0,5635.0000,0,0,7652.1200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00234,COPPERAS COVE ISD,Educational Institution,Public,12,2,050-910,CORYELL,7,2019-06-01T00:00:00.000,5146,0,9074,0,0,10402.3900,0,30760.8600,0,0,41163.2500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00234,COPPERAS COVE ISD,Educational Institution,Public,12,2,050-910,CORYELL,5,2019-07-01T00:00:00.000,2129,0,4514,0,0,4307.9600,0,15799.0000,0,0,20106.9600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00237,CROCKETT CO CONS ISD,Educational Institution,Public,15,4,053-001,CROCKETT,1,2019-06-01T00:00:00.000,816,0,863,0,0,1746.2400,0,2925.5700,0,0,4671.8100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00253,TRINITY BASIN PREPARATORY,Educational Institution,Charter,10,2,057-813,DALLAS,6,2019-06-01T00:00:00.000,2768,0,4757,0,0,5923.5200,0,16126.2300,0,0,22049.7500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00253,TRINITY BASIN PREPARATORY,Educational Institution,Charter,10,2,057-813,DALLAS,6,2019-07-01T00:00:00.000,914,0,1765,0,0,2010.8000,0,6177.5000,0,0,8188.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00253,TRINITY BASIN PREPARATORY,Educational Institution,Charter,10,2,057-813,DALLAS,1,2019-08-01T00:00:00.000,0,0,26,0,0,0,0,91.0000,0,0,91.0000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00260,"A PLUS CHARTER SCHOOLS, Inc. DBA A + ACADEMY",Educational Institution,Charter,10,2,057-829,DALLAS,1,2019-05-01T00:00:00.000,59,0,91,0,0,126.2600,0,308.4900,0,0,434.7500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00260,"A PLUS CHARTER SCHOOLS, Inc. DBA A + ACADEMY",Educational Institution,Charter,10,2,057-829,DALLAS,2,2019-06-01T00:00:00.000,2041,0,2716,0,0,3865.4900,0,9207.2400,0,0,13072.7300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00261,"A PLUS CHARTER SCHOOLS, INC. DBA INSPIRED VISION ACADEMY",Educational Institution,Charter,10,2,057-830,DALLAS,1,2019-05-01T00:00:00.000,17,0,19,0,0,36.3800,0,64.4100,0,0,100.7900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00261,"A PLUS CHARTER SCHOOLS, INC. DBA INSPIRED VISION ACADEMY",Educational Institution,Charter,10,2,057-830,DALLAS,2,2019-06-01T00:00:00.000,1077,0,1384,0,0,2304.7800,0,4691.7600,0,0,6996.5400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00270,CITYSCAPE SCHOOLS,Educational Institution,Charter,10,2,057-841,DALLAS,1,2019-06-01T00:00:00.000,916,0,1372,0,0,1960.2400,0,4651.0800,0,0,6611.3200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00274,CARROLLTON-FARMERS BRANCH,Educational Institution,Public,10,2,057-903,DALLAS,12,2019-06-01T00:00:00.000,11161,0,21743,0,0,23656.3400,0,73708.7700,0,0,97365.1100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00274,CARROLLTON-FARMERS BRANCH,Educational Institution,Public,10,2,057-903,DALLAS,6,2019-07-01T00:00:00.000,1343,0,5625,0,0,2954.6000,0,19687.5000,0,0,22642.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00275,CEDAR HILL ISD,Educational Institution,Public,10,2,057-904,DALLAS,1,2019-05-01T00:00:00.000,167,0,307,0,0,357.3800,0,1040.7300,0,0,1398.1100
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00275,CEDAR HILL ISD,Educational Institution,Public,10,2,057-904,DALLAS,3,2019-06-01T00:00:00.000,6265,0,11857,0,0,13407.1000,0,40195.2300,0,0,53602.3300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00275,CEDAR HILL ISD,Educational Institution,Public,10,2,057-904,DALLAS,1,2019-07-01T00:00:00.000,2157,0,4406,0,0,4745.4000,0,15421.0000,0,0,20166.4000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00275,CEDAR HILL ISD,Educational Institution,Public,10,2,057-904,DALLAS,1,2019-08-01T00:00:00.000,315,0,1143,0,0,693.0000,0,4000.5000,0,0,4693.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00276,DALLAS ISD,Educational Institution,Public,10,2,057-905,DALLAS,198,2019-06-01T00:00:00.000,73767,0,122792,0,0,156770.0800,0,416264.8800,0,0,573034.9600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00276,DALLAS ISD,Educational Institution,Public,10,2,057-905,DALLAS,110,2019-07-01T00:00:00.000,40769,0,58283,0,0,88896.5600,0,203990.5000,0,0,292887.0600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00276,DALLAS ISD,Educational Institution,Public,10,2,057-905,DALLAS,67,2019-08-01T00:00:00.000,3349,0,6304,0,0,7347.2800,0,22064.0000,0,0,29411.2800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00277,DESOTO ISD,Educational Institution,Public,10,2,057-906,DALLAS,4,2019-06-01T00:00:00.000,3116,0,6404,0,0,6487.9900,0,21709.5600,0,0,28197.5500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00277,DESOTO ISD,Educational Institution,Public,10,2,057-906,DALLAS,2,2019-07-01T00:00:00.000,435,0,1380,0,0,802.9200,0,4830.0000,0,0,5632.9200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00278,DUNCANVILLE ISD,Educational Institution,Public,10,2,057-907,DALLAS,3,2019-06-01T00:00:00.000,5608,0,10249,0,0,12001.1200,0,34744.1100,0,0,46745.2300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00278,DUNCANVILLE ISD,Educational Institution,Public,10,2,057-907,DALLAS,2,2019-07-01T00:00:00.000,634,0,1425,0,0,1394.8000,0,4987.5000,0,0,6382.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00278,DUNCANVILLE ISD,Educational Institution,Public,10,2,057-907,DALLAS,1,2019-08-01T00:00:00.000,34,0,97,0,0,74.8000,0,339.5000,0,0,414.3000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00280,GRAND PRAIRIE ISD,Educational Institution,Public,10,2,057-910,DALLAS,9,2019-06-01T00:00:00.000,9834,0,14839,0,0,21044.7600,0,50304.2100,0,0,71348.9700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00280,GRAND PRAIRIE ISD,Educational Institution,Public,10,2,057-910,DALLAS,7,2019-07-01T00:00:00.000,563,0,3984,0,0,1238.6000,0,13944.0000,0,0,15182.6000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00280,GRAND PRAIRIE ISD,Educational Institution,Public,10,2,057-910,DALLAS,8,2019-08-01T00:00:00.000,296,0,689,0,0,651.2000,0,2411.5000,0,0,3062.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,18,2019-06-01T00:00:00.000,18878,0,23482,15,0,40398.9200,0,79603.9800,13.6500,0,120016.5500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,12,2019-07-01T00:00:00.000,6467,0,8268,336,0,14227.4000,0,28938.0000,315.8400,0,43481.2400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00281,IRVING ISD,Educational Institution,Public,10,2,057-912,DALLAS,10,2019-08-01T00:00:00.000,1263,0,1146,39,0,2778.6000,0,4011.0000,36.6600,0,6826.2600
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00284,RICHARDSON ISD,Educational Institution,Public,10,2,057-916,DALLAS,8,2019-06-01T00:00:00.000,13812,0,25384,0,0,29557.6800,0,86051.7600,0,0,115609.4400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00284,RICHARDSON ISD,Educational Institution,Public,10,2,057-916,DALLAS,3,2019-07-01T00:00:00.000,966,0,1521,0,0,2125.2000,0,5323.5000,0,0,7448.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00284,RICHARDSON ISD,Educational Institution,Public,10,2,057-916,DALLAS,1,2019-08-01T00:00:00.000,211,0,283,0,0,464.2000,0,990.5000,0,0,1454.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00289,LAMESA ISD,Educational Institution,Public,17,1,058-906,DAWSON,2,2019-06-01T00:00:00.000,1248,0,2748,0,0,2670.7200,0,9315.7200,0,0,11986.4400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00289,LAMESA ISD,Educational Institution,Public,17,1,058-906,DAWSON,1,2019-07-01T00:00:00.000,52,0,87,0,0,114.4000,0,304.5000,0,0,418.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,Public,11,2,061-901,DENTON,1,2019-05-01T00:00:00.000,159,0,174,0,0,340.2600,0,589.8600,0,0,930.1200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,Public,11,2,061-901,DENTON,1,2019-06-01T00:00:00.000,1047,0,1128,0,0,2240.5800,0,3823.9200,0,0,6064.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,Public,11,2,061-901,DENTON,1,2019-07-01T00:00:00.000,1284,0,1356,0,0,2824.8000,0,4746.0000,0,0,7570.8000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00296,DENTON ISD,Educational Institution,Public,11,2,061-901,DENTON,1,2019-08-01T00:00:00.000,572,0,569,0,0,1258.4000,0,1991.5000,0,0,3249.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00302,SANGER ISD,Educational Institution,Public,11,2,061-908,DENTON,1,2019-06-01T00:00:00.000,403,0,427,0,0,862.4200,0,1447.5300,0,0,2309.9500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00304,NORTHWEST ISD,Educational Institution,Public,11,2,061-911,DENTON,1,2019-06-01T00:00:00.000,997,0,1376,0,0,2133.5800,0,4637.1200,0,0,6770.7000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00304,NORTHWEST ISD,Educational Institution,Public,11,2,061-911,DENTON,1,2019-07-01T00:00:00.000,128,0,181,0,0,281.6000,0,629.8800,0,0,911.4800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00305,LAKE DALLAS ISD,Educational Institution,Public,11,2,061-912,DENTON,1,2019-06-01T00:00:00.000,1699,0,2848,0,0,3635.8600,0,9597.7600,0,0,13233.6200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00305,LAKE DALLAS ISD,Educational Institution,Public,11,2,061-912,DENTON,1,2019-07-01T00:00:00.000,132,0,198,0,0,290.4000,0,689.0400,0,0,979.4400
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00309,YOAKUM ISD,Educational Institution,Public,3,3,062-903,DEWITT,3,2019-05-01T00:00:00.000,526,0,606,0,0,1125.6400,0,2054.3400,0,0,3179.9800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00309,YOAKUM ISD,Educational Institution,Public,3,3,062-903,DEWITT,3,2019-06-01T00:00:00.000,2784,0,2714,0,0,5957.7600,0,9200.4600,0,0,15158.2200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00310,YORKTOWN ISD,Educational Institution,Public,3,3,062-904,DEWITT,1,2019-06-01T00:00:00.000,170,0,88,0,0,363.8000,0,298.3200,0,0,662.1200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00313,SPUR ISD,Educational Institution,Public,17,1,063-903,DICKENS,1,2019-05-01T00:00:00.000,0,0,11,0,0,0,0,37.2900,0,0,37.2900
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00313,SPUR ISD,Educational Institution,Public,17,1,063-903,DICKENS,1,2019-06-01T00:00:00.000,0,0,217,0,0,0,0,735.6300,0,0,735.6300
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00319,BENAVIDES ISD,Educational Institution,Public,2,5,066-901,DUVAL,2,2019-05-01T00:00:00.000,361,0,372,0,0,772.5400,0,1261.0800,0,0,2033.6200
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00319,BENAVIDES ISD,Educational Institution,Public,2,5,066-901,DUVAL,2,2019-06-01T00:00:00.000,1459,0,1729,0,0,3122.2600,0,5861.3100,0,0,8983.5700
