odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
03949-0019,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0019,Port Acres Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,44,44,0,0,0,6,8,8,0,0,0,0,0,0,0,52,0,0,0,0,0
03949-0020,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0020,Washington Elementary,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,20,300,306,0,0,0,20,240,245,0,0,0,0,0,0,0,551,6,0,5,0,0
03949-0020,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0020,Washington Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,63,66,0,0,0,6,54,60,0,0,0,0,0,0,0,126,3,0,6,0,0
03949-0022,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0022,Travis Elementary,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,3,67,67,0,0,0,3,58,58,0,0,0,0,0,0,0,125,0,0,0,0,0
03949-0022,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0022,Travis Elementary,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,6,95,95,0,0,0,6,94,94,0,0,0,0,0,0,0,189,0,0,0,0,0
03949-0024,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0024,Avery Trace Apartments,,JEFFERSON,HIDALGO,2024-06-01T00:00:00.000,5,25,25,0,0,0,5,22,22,0,0,0,0,0,0,0,47,0,0,0,0,0
03949-0024,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0024,Avery Trace Apartments,,JEFFERSON,HIDALGO,2024-07-01T00:00:00.000,20,110,110,0,0,0,20,152,152,0,0,0,0,0,0,0,262,0,0,0,0,0
03949-0024,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0024,Avery Trace Apartments,,JEFFERSON,HIDALGO,2024-08-01T00:00:00.000,7,48,48,0,0,0,7,55,55,0,0,0,0,0,0,0,103,0,0,0,0,0
03949-0025,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0025,Stonegate Manor,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,5,5,5,0,0,0,5,12,12,0,0,0,0,0,0,0,17,0,0,0,0,0
03949-0025,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0025,Stonegate Manor,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,15,124,124,0,0,0,15,273,275,0,0,0,0,0,0,0,399,0,0,2,0,0
03949-0025,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0025,Stonegate Manor,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,7,48,48,0,0,0,7,89,89,0,0,0,0,0,0,0,137,0,0,0,0,0
