cesiteid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,cecounty,sitecounty,claimdate,breakfastdays,breakfast,secondbreakfast,breakfasttotal,amsnackdays,amsnack,secondamsnack,amsnacktotal,lunchdays,lunch,secondlunch,lunchtotal,pmsnackdays,pmsnack,secondpmsnack,pmsnacktotal,supperdays,supper,secondsupper,suppertotal,totalsnacks,totalmeals_snacks
00011-1215,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1215,Chambers Park,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,20,345,0,345,0,0,0,0,0,0,0,0,0,345
00011-1215,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1215,Chambers Park,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,8,80,0,80,0,0,0,0,0,0,0,0,0,80
00011-1217,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1217,Changing Lives Dance Center,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,5,111,0,111,0,0,0,0,5,212,0,212,0,0,0,0,0,0,0,0,0,323
00011-1217,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1217,Changing Lives Dance Center,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,5,178,0,178,0,0,0,0,5,319,0,319,0,0,0,0,0,0,0,0,0,497
00011-1219,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1219,Kurth Primary,ANGELINA,ANGELINA,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,8,34,0,34,0,0,0,0,0,0,0,0,0,34
00011-1219,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1219,Kurth Primary,ANGELINA,ANGELINA,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,2,12,0,12,0,0,0,0,0,0,0,0,0,12
00011-1220,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1220,St. Patrick Catholic School,ANGELINA,ARANSAS,2018-06-01T00:00:00.000,20,496,0,496,0,0,0,0,20,586,0,586,0,0,0,0,0,0,0,0,0,1082
00011-1220,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00011,LUFKIN ISD,Educational Institution,School Food Authority,7,3,1220,St. Patrick Catholic School,ANGELINA,ARANSAS,2018-07-01T00:00:00.000,9,143,0,143,0,0,0,0,9,292,0,292,0,0,0,0,0,0,0,0,0,435
00021-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00021,CHARLOTTE ISD,Educational Institution,School Food Authority,20,4,0001,CHARLOTTE H S,ATASCOSA,ATASCOSA,2018-06-01T00:00:00.000,19,671,0,671,0,0,0,0,19,851,0,851,0,0,0,0,0,0,0,0,0,1522
00024-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00024,PLEASANTON ISD,Educational Institution,School Food Authority,20,4,0041,PLEASANTON J H,ATASCOSA,ATASCOSA,2018-06-01T00:00:00.000,15,220,7,227,0,0,0,0,15,1035,1,1036,0,0,0,0,0,0,0,0,0,1263
00025-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00025,POTEET ISD,Educational Institution,School Food Authority,20,4,0041,POTEET J H,ATASCOSA,ATASCOSA,2018-06-01T00:00:00.000,16,511,0,511,0,0,0,0,16,1121,0,1121,0,0,0,0,0,0,0,0,0,1632
00029-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0001,MULESHOE H S,BAILEY,BAILEY,2018-06-01T00:00:00.000,8,347,3,350,0,0,0,0,8,764,81,845,0,0,0,0,0,0,0,0,0,1195
00029-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0101,MARY DESHAZO EL,BAILEY,BAILEY,2018-06-01T00:00:00.000,8,494,57,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551
00029-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00029,MULESHOE ISD,Educational Institution,School Food Authority,17,1,0103,DILLMAN EL,BAILEY,BAILEY,2018-06-01T00:00:00.000,20,1069,0,1069,0,0,0,0,20,1721,1,1722,0,0,0,0,0,0,0,0,0,2791
00033-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0001,ELGIN H S,BASTROP,BASTROP,2018-05-01T00:00:00.000,2,2,0,2,0,0,0,0,2,8,0,8,0,0,0,0,0,0,0,0,0,10
00033-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0001,ELGIN H S,BASTROP,BASTROP,2018-06-01T00:00:00.000,16,639,0,639,0,0,0,0,16,842,0,842,0,0,0,0,0,0,0,0,0,1481
00033-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0001,ELGIN H S,BASTROP,BASTROP,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00033-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0041,ELGIN MIDDLE SCHOOL,BASTROP,BASTROP,2018-05-01T00:00:00.000,2,77,0,77,0,0,0,0,2,140,0,140,0,0,0,0,0,0,0,0,0,217
00033-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0041,ELGIN MIDDLE SCHOOL,BASTROP,BASTROP,2018-06-01T00:00:00.000,16,334,0,334,0,0,0,0,16,689,0,689,0,0,0,0,0,0,0,0,0,1023
00033-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0041,ELGIN MIDDLE SCHOOL,BASTROP,BASTROP,2018-07-01T00:00:00.000,2,37,0,37,0,0,0,0,2,90,0,90,0,0,0,0,0,0,0,0,0,127
00033-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0101,BOOKER T. WASHINGTON,BASTROP,BASTROP,2018-05-01T00:00:00.000,2,199,0,199,0,0,0,0,2,252,0,252,0,0,0,0,0,0,0,0,0,451
00033-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0101,BOOKER T. WASHINGTON,BASTROP,BASTROP,2018-06-01T00:00:00.000,16,950,0,950,0,0,0,0,16,1241,0,1241,0,0,0,0,0,0,0,0,0,2191
00033-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0101,BOOKER T. WASHINGTON,BASTROP,BASTROP,2018-07-01T00:00:00.000,2,103,0,103,0,0,0,0,2,150,0,150,0,0,0,0,0,0,0,0,0,253
00033-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0102,ELGIN ELEMENTARY NORTH,BASTROP,BASTROP,2018-05-01T00:00:00.000,2,188,0,188,0,0,0,0,2,262,0,262,0,0,0,0,0,0,0,0,0,450
00033-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0102,ELGIN ELEMENTARY NORTH,BASTROP,BASTROP,2018-06-01T00:00:00.000,16,2642,0,2642,0,0,0,0,16,4665,0,4665,0,0,0,0,0,0,0,0,0,7307
00033-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0102,ELGIN ELEMENTARY NORTH,BASTROP,BASTROP,2018-07-01T00:00:00.000,2,96,0,96,0,0,0,0,2,196,0,196,0,0,0,0,0,0,0,0,0,292
00033-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0103,NEIDIG ELEMENTARY,BASTROP,BASTROP,2018-05-01T00:00:00.000,2,225,0,225,0,0,0,0,2,318,0,318,0,0,0,0,0,0,0,0,0,543
00033-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,00033,ELGIN ISD,Educational Institution,School Food Authority,13,4,0103,NEIDIG ELEMENTARY,BASTROP,BASTROP,2018-06-01T00:00:00.000,16,1103,0,1103,0,0,0,0,16,1572,0,1572,0,0,0,0,0,0,0,0,0,2675
