cesiteid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,cecounty,sitecounty,claimdate,breakfastdays,breakfast,secondbreakfast,breakfasttotal,amsnackdays,amsnack,secondamsnack,amsnacktotal,lunchdays,lunch,secondlunch,lunchtotal,pmsnackdays,pmsnack,secondpmsnack,pmsnacktotal,supperdays,supper,secondsupper,suppertotal,totalsnacks,totalmeals_snacks
01017-1214,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1214,TEMPORARY Blanton ISD,TARRANT,TARRANT,2018-07-01T00:00:00.000,12,592,0,592,0,0,0,0,12,760,0,760,0,0,0,0,11,682,0,682,0,2034
01017-1225,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1225,TEMPORARY Burgin,TARRANT,TARRANT,2018-07-01T00:00:00.000,12,249,12,261,0,0,0,0,12,275,0,275,0,0,0,0,0,0,0,0,0,536
01017-1262,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1262,Temporary Nedderman Hall,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,15,2143,10,2153,0,0,0,0,0,0,0,0,0,2153
01017-1262,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1262,Temporary Nedderman Hall,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,13,1845,4,1849,0,0,0,0,0,0,0,0,0,1849
01017-1290,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1290,Hilldale,TARRANT,TARRANT,2018-06-01T00:00:00.000,8,121,16,137,0,0,0,0,8,167,49,216,0,0,0,0,0,0,0,0,0,353
01017-1294,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1294,Temporary West Elem,TARRANT,TARRANT,2018-06-01T00:00:00.000,4,305,0,305,0,0,0,0,0,0,0,0,17,1478,0,1478,0,0,0,0,1478,1783
01017-1294,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1294,Temporary West Elem,TARRANT,TARRANT,2018-07-01T00:00:00.000,21,1130,0,1130,0,0,0,0,0,0,0,0,20,1536,0,1536,0,0,0,0,1536,2666
01017-1294,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1294,Temporary West Elem,TARRANT,TARRANT,2018-08-01T00:00:00.000,13,669,30,699,0,0,0,0,0,0,0,0,11,759,10,769,0,0,0,0,769,1468
01017-1299,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1299,Temporary Peach,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,1,154,0,154,15,2458,0,2458,0,0,0,0,2458,2612
01017-1299,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1299,Temporary Peach,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,19,2779,13,2792,19,2648,0,2648,0,0,0,0,2648,5440
01017-1299,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1299,Temporary Peach,TARRANT,TARRANT,2018-08-01T00:00:00.000,0,0,0,0,0,0,0,0,8,1138,1,1139,8,1084,0,1084,0,0,0,0,1084,2223
01017-1302,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1302,Temporary McNutt,TARRANT,TARRANT,2018-06-01T00:00:00.000,1,35,0,35,0,0,0,0,1,35,0,35,0,0,0,0,0,0,0,0,0,70
01017-1302,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1302,Temporary McNutt,TARRANT,TARRANT,2018-07-01T00:00:00.000,21,392,5,397,0,0,0,0,21,579,43,622,0,0,0,0,0,0,0,0,0,1019
01017-1302,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01017,ARLINGTON ISD,Educational Institution,School Food Authority,11,2,1302,Temporary McNutt,TARRANT,TARRANT,2018-08-01T00:00:00.000,8,69,1,70,0,0,0,0,8,109,32,141,0,0,0,0,0,0,0,0,0,211
01024-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01024,LAKE WORTH ISD,Educational Institution,School Food Authority,11,2,0001,LAKE WORTH H S,TARRANT,TARRANT,2018-06-01T00:00:00.000,16,1358,10,1368,0,0,0,0,16,2417,29,2446,0,0,0,0,0,0,0,0,0,3814
01024-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01024,LAKE WORTH ISD,Educational Institution,School Food Authority,11,2,0104,MARILYN MILLER ELEMENTARY,TARRANT,TARRANT,2018-06-01T00:00:00.000,16,1651,4,1655,0,0,0,0,16,2699,15,2714,0,0,0,0,0,0,0,0,0,4369
01024-1022,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01024,LAKE WORTH ISD,Educational Institution,School Food Authority,11,2,1022,MARY LOU REDDICK PUBLIC LIBRARY,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,4,152,0,152,0,0,0,0,0,0,0,0,0,152
01028-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0001,BELL H S,TARRANT,TARRANT,2018-06-01T00:00:00.000,15,460,0,460,0,0,0,0,15,3234,74,3308,0,0,0,0,0,0,0,0,0,3768
01028-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0001,BELL H S,TARRANT,TARRANT,2018-07-01T00:00:00.000,13,352,6,358,0,0,0,0,13,2504,28,2532,0,0,0,0,0,0,0,0,0,2890
01028-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0002,TRINITY H S,TARRANT,TARRANT,2018-06-01T00:00:00.000,18,1685,16,1701,0,0,0,0,18,3544,67,3611,0,0,0,0,0,0,0,0,0,5312
01028-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0041,CENTRAL J H,TARRANT,TARRANT,2018-06-01T00:00:00.000,11,341,12,353,0,0,0,0,11,993,17,1010,0,0,0,0,0,0,0,0,0,1363
01028-0106,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0106,OAKWOOD TERRACE EL,TARRANT,TARRANT,2018-06-01T00:00:00.000,15,1713,1,1714,0,0,0,0,15,3091,27,3118,0,0,0,0,0,0,0,0,0,4832
01028-0122,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0122,MEADOW CREEK EL,TARRANT,TARRANT,2018-06-01T00:00:00.000,18,1497,60,1557,0,0,0,0,18,1850,44,1894,0,0,0,0,0,0,0,0,0,3451
01028-0122,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0122,MEADOW CREEK EL,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,10,925,16,941,0,0,0,0,0,0,0,0,0,941
01028-0125,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,0125,VIRIDIAN EL,TARRANT,TARRANT,2018-06-01T00:00:00.000,8,1042,32,1074,0,0,0,0,8,1793,64,1857,0,0,0,0,0,0,0,0,0,2931
01028-1201,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,1201,EULESS MIDWAY PARKS AND COMMUNITY SERVICES,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,18,3069,38,3107,0,0,0,0,0,0,0,0,0,3107
01028-1201,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,1201,EULESS MIDWAY PARKS AND COMMUNITY SERVICES,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,21,3755,28,3783,0,0,0,0,0,0,0,0,0,3783
01028-1213,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,1213,Westdale Hills Community,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,20,611,9,620,0,0,0,0,0,0,0,0,0,620
01028-1213,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,School Food Authority,11,2,1213,Westdale Hills Community,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,19,556,14,570,0,0,0,0,0,0,0,0,0,570
01029-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0001,CASTLEBERRY H S,TARRANT,TARRANT,2018-06-01T00:00:00.000,20,798,0,798,0,0,0,0,20,1335,0,1335,0,0,0,0,0,0,0,0,0,2133
01029-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0001,CASTLEBERRY H S,TARRANT,TARRANT,2018-07-01T00:00:00.000,14,33,0,33,0,0,0,0,14,237,0,237,0,0,0,0,0,0,0,0,0,270
01029-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0102,CASTLEBERRY EL,TARRANT,TARRANT,2018-06-01T00:00:00.000,20,4442,0,4442,0,0,0,0,20,5922,0,5922,0,0,0,0,0,0,0,0,0,10364
01029-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0102,CASTLEBERRY EL,TARRANT,TARRANT,2018-07-01T00:00:00.000,4,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
01029-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0104,JOY JAMES EL,TARRANT,TARRANT,2018-06-01T00:00:00.000,4,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
01029-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0104,JOY JAMES EL,TARRANT,TARRANT,2018-07-01T00:00:00.000,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
01029-0106,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0106,IRMA MARSH MIDDLE SCHOOL,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,4,14,0,14,0,0,0,0,0,0,0,0,0,14
01029-0106,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0106,IRMA MARSH MIDDLE SCHOOL,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,3,23,0,23,0,0,0,0,0,0,0,0,0,23
01029-0108,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0108,AV CATO ELEMENTARY,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,4,43,0,43,0,0,0,0,0,0,0,0,0,43
01029-0108,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,0108,AV CATO ELEMENTARY,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,3,41,0,41,0,0,0,0,0,0,0,0,0,41
00082-0004,2017-2018,SEAMLESS_SUMMER_OPTION_MEALS,00082,SAN ANTONIO ISD,Educational Institution,Public,20,4,0004,FOX TECHNICAL H S,BEXAR,BEXAR,2018-06-01T00:00:00.000,9,232,,232,0,0,,0,13,618,,618,0,0,,0,0,0,,0,0,850
01029-1030,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,1030,Eastgate Mobile Home Park,TARRANT,TARRANT,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,4,42,0,42,0,0,0,0,0,0,0,0,0,42
01029-1030,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,1030,Eastgate Mobile Home Park,TARRANT,TARRANT,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,4,31,0,31,0,0,0,0,0,0,0,0,0,31
01029-1031,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,1031,Marion Sansom Park,TARRANT,TARRANT,2018-06-01T00:00:00.000,4,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
01029-1031,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01029,CASTLEBERRY ISD,Educational Institution,School Food Authority,11,2,1031,Marion Sansom Park,TARRANT,TARRANT,2018-07-01T00:00:00.000,4,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
01034-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0001,ABILENE H S,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,126,0,126,0,0,0,0,18,257,0,257,0,0,0,0,0,0,0,0,0,383
01034-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0001,ABILENE H S,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,58,0,58,0,0,0,0,20,259,0,259,0,0,0,0,0,0,0,0,0,317
01034-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0002,COOPER H S,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,15,261,0,261,0,0,0,0,15,2175,0,2175,0,0,0,0,0,0,0,0,0,2436
01034-0047,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0047,CLACK MIDDLE,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,13,1196,0,1196,0,0,0,0,13,2152,0,2152,0,0,0,0,0,0,0,0,0,3348
01034-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0104,BOWIE EL,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,16,936,0,936,0,0,0,0,16,1003,0,1003,0,0,0,0,0,0,0,0,0,1939
01034-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0104,BOWIE EL,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,8,103,0,103,0,0,0,0,8,130,0,130,0,0,0,0,0,0,0,0,0,233
01034-0113,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,0113,JOHNSTON EL,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,14,1927,0,1927,0,0,0,0,14,3453,0,3453,0,0,0,0,0,0,0,0,0,5380
01034-1003,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1003,COBB PARK,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,594,0,594,0,0,0,0,18,1371,0,1371,0,0,0,0,0,0,0,0,0,1965
01034-1003,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1003,COBB PARK,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,611,0,611,0,0,0,0,20,1388,0,1388,0,0,0,0,0,0,0,0,0,1999
01034-1004,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1004,G.V. DANIELS,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,706,0,706,0,0,0,0,18,971,0,971,0,0,0,0,0,0,0,0,0,1677
01034-1004,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1004,G.V. DANIELS,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,637,0,637,0,0,0,0,20,922,0,922,0,0,0,0,0,0,0,0,0,1559
01034-1006,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1006,ROSE PARK,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,817,0,817,0,0,0,0,18,1360,0,1360,0,0,0,0,0,0,0,0,0,2177
01034-1006,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1006,ROSE PARK,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,780,0,780,0,0,0,0,20,1294,0,1294,0,0,0,0,0,0,0,0,0,2074
01034-1007,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1007,SEARS PARK,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,412,0,412,0,0,0,0,18,1039,0,1039,0,0,0,0,0,0,0,0,0,1451
01034-1007,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1007,SEARS PARK,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,413,0,413,0,0,0,0,20,1003,0,1003,0,0,0,0,0,0,0,0,0,1416
01034-1010,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1010,YMCA - STATE STREET,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,1232,0,1232,0,0,0,0,18,1478,0,1478,0,0,0,0,0,0,0,0,0,2710
01034-1010,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1010,YMCA - STATE STREET,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,1133,0,1133,0,0,0,0,20,1464,0,1464,0,0,0,0,0,0,0,0,0,2597
01034-1011,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1011,YMCA - REDBUD PARK,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,18,1940,0,1940,0,0,0,0,18,2459,0,2459,0,0,0,0,0,0,0,0,0,4399
01034-1011,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1011,YMCA - REDBUD PARK,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,1931,0,1931,0,0,0,0,20,2498,0,2498,0,0,0,0,0,0,0,0,0,4429
01034-1022,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1022,Hardin Simmons University,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,8,850,0,850,0,0,0,0,0,0,0,0,0,850
01034-1029,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1029,Martinez Boys & Girls Club of Abilene,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,15,1502,0,1502,0,0,0,0,15,2916,0,2916,0,0,0,0,0,0,0,0,0,4418
01054-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01054,GRAPE CREEK ISD,Educational Institution,School Food Authority,15,4,0001,GRAPE CREEK H S,TOM GREEN,TOM GREEN,2018-06-01T00:00:00.000,16,37,0,37,0,0,0,0,16,32,0,32,0,0,0,0,0,0,0,0,0,69
01034-1029,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1029,Martinez Boys & Girls Club of Abilene,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,20,1775,0,1775,0,0,0,0,20,3980,0,3980,0,0,0,0,0,0,0,0,0,5755
01034-1034,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1034,Children's Art & Literacy Festival,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,1,382,0,382,0,0,0,0,0,0,0,0,0,382
01034-1035,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1035,Nelson Park- Splash Pad,TAYLOR,TAYLOR,2018-06-01T00:00:00.000,0,0,0,0,0,0,0,0,18,464,0,464,0,0,0,0,0,0,0,0,0,464
01034-1035,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1035,Nelson Park- Splash Pad,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,15,207,0,207,0,0,0,0,0,0,0,0,0,207
01034-1036,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01034,ABILENE ISD,Educational Institution,School Food Authority,14,1,1036,REDBUD PARK - PLAYGROUND,TAYLOR,TAYLOR,2018-07-01T00:00:00.000,0,0,0,0,0,0,0,0,20,332,0,332,0,0,0,0,0,0,0,0,0,332
01040-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01040,BROWNFIELD ISD,Educational Institution,School Food Authority,17,1,0001,BROWNFIELD H S,TERRY,TERRY,2018-06-01T00:00:00.000,20,1215,0,1215,0,0,0,0,20,641,0,641,0,0,0,0,0,0,0,0,0,1856
01040-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01040,BROWNFIELD ISD,Educational Institution,School Food Authority,17,1,0041,BROWNFIELD MIDDLE,TERRY,TERRY,2018-06-01T00:00:00.000,20,269,0,269,0,0,0,0,20,502,0,502,0,0,0,0,8,800,0,800,0,1571
01040-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01040,BROWNFIELD ISD,Educational Institution,School Food Authority,17,1,0101,COLONIAL HEIGHTS EL,TERRY,TERRY,2018-06-01T00:00:00.000,20,402,0,402,0,0,0,0,20,521,0,521,0,0,0,0,0,0,0,0,0,923
01040-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01040,BROWNFIELD ISD,Educational Institution,School Food Authority,17,1,0102,OAK GROVE EL,TERRY,TERRY,2018-06-01T00:00:00.000,20,494,0,494,0,0,0,0,20,432,0,432,0,0,0,0,0,0,0,0,0,926
01041-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01041,MEADOW ISD,Educational Institution,School Food Authority,17,1,0001,MEADOW SCHOOL,TERRY,TERRY,2018-06-01T00:00:00.000,20,735,0,735,0,0,0,0,20,722,0,722,0,0,0,0,0,0,0,0,0,1457
01045-0001,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0001,MT PLEASANT H S,TITUS,TITUS,2018-06-01T00:00:00.000,15,354,0,354,0,0,0,0,15,472,0,472,0,0,0,0,0,0,0,0,0,826
01045-0041,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0041,MOUNT PLEASANT J H,TITUS,TITUS,2018-06-01T00:00:00.000,15,395,0,395,0,0,0,0,15,858,0,858,0,0,0,0,0,0,0,0,0,1253
01045-0101,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0101,CORPREW ELEMENTARY,TITUS,TITUS,2018-06-01T00:00:00.000,15,939,0,939,0,0,0,0,15,1124,0,1124,0,0,0,0,0,0,0,0,0,2063
01045-0102,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0102,SIMS EL,TITUS,TITUS,2018-06-01T00:00:00.000,15,428,0,428,0,0,0,0,15,1024,0,1024,0,0,0,0,0,0,0,0,0,1452
01045-0103,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0103,BRICE EL,TITUS,TITUS,2018-06-01T00:00:00.000,15,327,0,327,0,0,0,0,15,637,0,637,0,0,0,0,0,0,0,0,0,964
01045-0104,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01045,MOUNT PLEASANT ISD,Educational Institution,School Food Authority,8,2,0104,VIVIAN FOWLER EL,TITUS,TITUS,2018-06-01T00:00:00.000,15,454,0,454,0,0,0,0,15,1281,0,1281,0,0,0,0,0,0,0,0,0,1735
01051-0002,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01051,SAN ANGELO ISD,Educational Institution,School Food Authority,15,4,0002,LAKE VIEW H S,TOM GREEN,TOM GREEN,2018-06-01T00:00:00.000,20,1086,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086
01051-0042,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01051,SAN ANGELO ISD,Educational Institution,School Food Authority,15,4,0042,GLENN MIDDLE SCHOOL,TOM GREEN,TOM GREEN,2018-06-01T00:00:00.000,13,292,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
01051-0043,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01051,SAN ANGELO ISD,Educational Institution,School Food Authority,15,4,0043,LEE MIDDLE SCHOOL,TOM GREEN,TOM GREEN,2018-06-01T00:00:00.000,13,377,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377
01051-0045,2017-2018,SUMMER_FOOD_SERVICE_PROG_MEALS,01051,SAN ANGELO ISD,Educational Institution,School Food Authority,15,4,0045,LINCOLN MIDDLE SCHOOL,TOM GREEN,TOM GREEN,2018-06-01T00:00:00.000,23,484,0,484,0,0,0,0,23,2511,85,2596,0,0,0,0,0,0,0,0,0,3080
